stage,eye,fin_epithelia,mesenchyme,muscle,neural,otic,spinal_cord
 24-34,0,0,0.65,0,1.23,5.82,1.98
 36-46,0,0,0,0,0.82,0,2.31
 48-58,0.92,0,1.49,0,2.24,6.68,0
 60-70,2.02,0,2,0,2.06,0,0
 72-82,0,0,1.48,0,0,2.7,0
 84-94,0,0,0,2.7,0,0,0
 96-106,0,0,0,0,0,1.22,0
108-118,0,0,0,0,1.14,0,0
120,0,1.12,0,0,0,0,0
