stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,20.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.82,1.06,0,0,0,0,0,0,0,0,50.28,0,0,0,0,0,0.92,0,0,0,0,1.14,0,4.79,0,0,0,0,0,0,0
 24-34,0,0,3.54,0,0,0,0,1.41,0,0,0,0,92.96,0,7.44,0,0,0,5.37,0,0,4.11,9.34,5.32,0,10.48,0.64,0,0,0,0,0,0
 36-46,0,0,4.37,0,0,0.59,0,1.15,0,0,0,0,26.89,0,15.38,0,0,0.63,2.8,0,0,51.63,7.55,0.69,0,119.06,0,0.67,9.4,0,0,0,0
 48-58,0,1.29,16.37,0,0,3.35,0,0,0,4.28,0,0,17.37,0,9.05,0,0,3.51,2.13,0.44,0.39,56.94,14.45,10.35,0,313.3,0,0,7.67,0,0,1.11,0
 60-70,0,10.38,6.98,0,0,4.18,0,4.15,1.38,0,0.98,0,6.33,0,20.57,0,0,1.26,0.85,0,0,60.63,20.63,5.31,0,329.86,0,0,1.28,1.21,0,0,0
 72-82,0,7.15,5.06,0.5,0,11,0,3.05,0,1.27,25.47,0,11.65,0,36.56,0,9,4.54,3.17,0,3.95,79.68,36.64,11.11,0,255.68,0,1.37,0,1.01,0,4.19,0
 84-94,0,5.86,10.45,0,0,10.5,1.69,3.23,0,0,43.52,0,31.92,0,33.08,1.15,0,2.79,1.48,0,0,54.65,25.54,2.59,0,639.56,1.29,0,0,1.14,0,0,0
 96-106,0,6.22,10.76,0,1.93,27.43,2.52,6.74,0,6.81,108.46,1.64,34.58,0,80.48,0,0,4.67,3.32,0,0,51.42,91.95,1.11,0,509.86,2.32,0,0,9.37,0.75,0.65,0
108-118,0,21.36,50.81,0.53,1.55,7.88,1.44,7.05,0,4.02,66.33,0,30.12,0,47.6,4.49,0,7.42,1.08,0,0,36.07,49.23,5.64,0,166.42,1.99,1.21,2.56,2.38,0.69,0,1.13
120,0,2.55,24.48,0,0,0,2.52,11.34,0,0,111.34,0,19.32,2.11,58.52,9.4,0,5.68,0,0,2.24,43.74,85.8,0,8.63,91.35,1.16,1.47,0,0,0,0,0
