stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,15.96,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,2.33,0,0,0,0,0,10.26,0,0,0,0,0,36.89,0,0,0,0,0,0
 48-58,0,0.51,0,0,0,0.48,0,0,0,10.6,0,0,0,0.4,31.41,0,0,0,0,0,3,0,0,0.82,0,0,31.39,2.6,0,0,0,0,0
 60-70,0,0,0,0,3.03,3.29,0,0,1.29,33.97,0,0,1.16,0,77.2,0,0,0,7.24,0,3.46,0,0,0.63,0,0,48.19,1.12,0,0,0,0,0
 72-82,1.19,0,1.16,0,35.27,34.54,0,0,3.45,112.8,0,0,0,0,219.03,1.31,13.46,0.56,0,0,59.77,0,0,0,0,6.64,174.05,4.57,1.87,0,0,0,0
 84-94,2.56,0,0,1.26,106.26,22.41,0,0.59,0.63,278.44,3.89,0.61,0,0,813.86,0,8.53,0,0,0.67,47.35,0,0,0,0,4.3,380.18,0,0,0,0,0,0
 96-106,0,14.36,4.07,21.47,140.89,64.48,1.4,10.28,11.8,469.59,1.31,0,0,3.44,1128.15,0,29.87,1.61,0,5.43,240.21,0.62,0,4.43,0,6.47,469.25,3.58,1.02,0,12.32,0.96,0.9
108-118,0,13.76,7.99,0.46,482.07,52.28,0.62,3.73,16.11,567.45,1.38,0.48,0.43,2.48,2078.54,0.61,27.79,0.49,0,1.13,159.53,0,1.44,0.41,1.55,11.51,498.91,0,2.39,0,11.47,0,7.8
120,0,4.59,9.6,5.12,148.86,22.93,6.82,0,0,417.63,3.54,0,0,2.98,1064.82,0,35.19,0,0,0,139.03,1.29,0,12.5,0,1.77,389.14,14.6,0,8,0,0,0
