stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,56.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31,0,0,0,0,0,0,0
 14-21,0,0,0,9.66,0,0,0,0,0,0,2.63,0.92,0,0,0,0,0,1.2,6.17,0,0,0,0,3.23,3.05,0
 24-34,0,0,0,0,0,0,0.86,0,0,0,0.69,0,0,0,0,5.77,0,4.1,106.51,0,0,1.62,0,17.3,16.7,0
 36-46,0,0,0.6,0,5.24,0,3.33,3.62,1.33,0,0.6,2.72,0,0.61,0,13.61,0,7.57,482.91,0,1.62,2.55,0,49.41,10.93,0
 48-58,0,0,0,0,14.76,0,6.11,6.11,0,0,0,11.35,0,0,0.65,17.39,0,2.27,451.1,0,0,4.12,0.53,58.24,2.77,0
 60-70,0,0,0,2.33,45.98,0,14.1,2.65,0,0,0.76,19.91,0,1.02,0,12.94,0,1.85,344,1.23,0,0,0,64.87,2.57,0
 72-82,0,0,0,1.78,22,0,20.34,1.94,0,0,0.86,5.46,0,0,0,22.94,1.98,0,177.39,1.03,0.61,0,0,10.93,2.77,0.91
 84-94,0,2.24,1.65,0,42.51,2.16,2.55,4.2,0,0,1.27,17.47,0,0.64,0,9.27,2.39,3.42,158.79,0,0.66,0,0,10.65,6.71,0.63
 96-106,0,0.99,0,9.05,18.26,0,5.33,0.61,0,0,0.71,21.52,0.75,0,0,8.73,0,1.79,116.65,0,0,1.87,0,13.73,2.07,0
108-118,0,0.6,5.02,2.21,30.68,0,0,3.88,0,0,0,14.59,0,0,0,6.31,1.99,0,133.28,1.11,0.54,0,0,7.71,4.39,0
120,0,0,0,12.67,27.59,0,13.21,1.73,2.96,0,0,25.67,0,0,0,0,0,0,116.18,0,0,3.73,0,4.72,5.31,1.05
