stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0,0,0
  5-6,0,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.43,0,0,0,0,0,0,0
  7-9,7.2,4.37,0,0,40.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.03,0,0,0,16.88,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,39.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.1,3.17,0,0,35.1,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,32.51,0,0,1.04,0.82,0,2.06,0,6.69,0,0,0,0
 24-34,0,0,2,0,4.65,0,0,0.62,1.29,0,0,0,0.72,0,0,0,0.78,0,0,2.34,130.09,1.28,2.68,0,0,13.56,0,0,29.47,0,0,2.38,0
 36-46,0,0,5.81,0,10.86,0,0,0,4.39,0,0,0,0,0,0,3.35,2.46,0,0,0.73,92.61,4.11,0,0,0,27.43,0,0,19.38,0,0,1.03,0
 48-58,0,0,6.37,0,11.48,0.96,7.82,0.44,7.29,0,0,0,0,0,0,0,4.87,0,0.46,1.04,42.49,5.31,0,0,0,6.63,0,0,6.5,0,0,0,0
 60-70,0,0,7.78,0,45.71,0.62,10.22,0,12.4,3.91,0,0,0.57,0,0,5.08,0.92,0,0,0,43.04,0,0,0,0,9.51,0,2.31,8.84,2.13,0,0.57,0
 72-82,0,0,6.73,0,74.36,0,0,0,7.76,1.96,0,0,0,0,0,0.5,30.13,0,0.81,0.79,82.02,0,0.5,0,0,13.58,0,0,13.87,0,3.79,3.25,1
 84-94,0,0,1.8,0,23.21,0,2.7,0,1.78,2.05,0,0,0,0,0,0,6.95,0,0.68,0,34.19,2.69,0,0.56,0,6.53,0,0,6.32,0,0,1.24,0
 96-106,0,0,1.41,0,15.86,0,0,0,5.95,2.51,0,0.73,0,0,8.52,0,10.48,4.71,0,1.27,9.51,1.37,0,0,0,8.56,0,0,0,0,0,0,0
108-118,0,0,1.16,0,21.13,0,3.28,1.19,3.64,0,1.9,0,0.45,0.64,0,4.89,16.58,0,0,0.78,37.06,3.03,0,3.52,0,7.01,0,0,2.51,0,0,3.71,1.61
120,0,0,0,0,59.96,0,3.52,0,5.77,0,0,3.35,0,0,2.7,0,8.73,0,3.51,0,113.65,0,11.55,0,0,7.08,0,0,26.14,0,0,17.06,10.48
