stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,gut,hatching.gland,heart,immune,mesenchyme,mural.cell,neural,periderm,spinal.cord
  7-9,4.08,0,0,0,0,0,0,0,0,0,0,12.6,0,0
 10-12,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0
 14-21,0,0.84,3.31,0,0,0,0,0,42.24,0,0,0.8,0,0
 24-34,0,0,0,0,0.68,0,0,0,25.37,0,0,11.71,0,0
 36-46,0,0,0,0.97,0,0,0,0,18.53,0,0,2.69,0,0
 48-58,0,0,5.51,0,0,0,0,0,16.65,0.69,0,1.04,0,0.38
 60-70,0,0,0,0,0,0,0,0,39.21,0,0,0,0,0
 72-82,0,0,0,4.65,0,0,0,0,22.74,1.49,0,1.29,0.97,0
 84-94,0,0,0,3.88,0,0,0,0,26.73,4.14,0,0.71,4.15,0
 96-106,0,1.71,5.39,0.76,0,0.9,0,1.33,56.75,0,0.7,7.64,7.38,0
108-118,0,0,0,4.54,0,0,0,0,28.36,0,0,0.51,0,0
120,0,0,0,6.39,0,0,0,0,29.67,0,0,0,0,0
