stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,82.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,56.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.36,3.71,0,0,61.26,0,0,35.64,0,0,0,0,0,0,0
 14-21,0,0,0.8,1.33,1.85,1.81,2.83,0,61.31,2.9,0,0,0,0,0,3.67,0,2.2,75.43,0,5.18,26.22,5.43,0,3.34,29.16,1.95,7.14,173.81,0,1.09,0,0
 24-34,0,0,1.44,1.2,4.35,0,4.21,1.24,67.81,0,0,0,0,0.68,0,13.29,0,2.02,106.72,1.46,31.67,3.88,0,0,0,14.85,0,2.87,140.42,0,1.58,0,0
 36-46,0,0,0,0,0,0,6.19,2.07,52.59,0,0,0.71,0,0,0,1.33,0.63,0.86,115.85,0,48.61,0.7,0,0,0,14.33,0,0,101.67,0,0,0,0
 48-58,0,0,0,0,0,0,9.19,0,51.79,0,0,0.42,0,1.2,0,0.91,0.94,0,72.05,0,20,3.15,0,0,0,10.17,0,0,88.76,0,0,0,0
 60-70,0,0,0,0,1.79,0,33.43,0,36.3,0.75,0,0,0,4.14,0,0.71,2.6,0,29.16,0,27.74,9.98,0,0,0,41.6,0,0,51.61,0,0,0,0
 72-82,0,0,0,0,0,2.94,63.33,0,72.46,0,0,0,0,4.18,3.3,6.33,1.76,0,60.04,0,44.92,5.75,0,0,0,1.83,0,0,35.41,1.6,0,0,0
 84-94,0,0,0,0,0.97,4.7,48.66,0,46.39,4.07,0,0,1.5,4.33,0,0.62,5.71,0,11.98,0,61.7,16.26,0,0,0,2.11,0,0,39,0,0,0,0
 96-106,0,0,0,1.07,1.79,2.96,40.06,1.21,54,0.61,0,0,0.77,6.08,0,2.08,11.77,0,19.94,0,70,12.21,0,1.41,0,0.6,0,0,38.36,0,0,0,6.2
108-118,0,0,0,2.57,1.86,0,35.27,0,63.19,6.99,0,0.99,1.36,4.87,0,1.82,2.19,3.63,44.79,1.37,52.4,10.68,0,0,0,4.09,0,0,25.7,0,0,0,0
120,0,0,0,0,0,0,65.23,0,30.08,0,0,0,0,11.59,0,2.83,4.97,1.43,61,0,66.74,8.15,0,0,0,9.87,0,0,19.55,0,0,7.27,0
