stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.66,34.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,3.9,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.9,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.52,0,2.81,0,0,0,0.84,1.06,0,0,0,0,0,0,0.9,0,0,2.23,89.97,0,0,0,0,0,0.97,0,1.09,0.9,0,3.72,17.68,0,0,0,0,0
 24-34,0,0,0,0,0.88,0,2.27,0,0,0,5.76,0,0,0,0,1.94,1.32,0,17.49,0.69,0,0.81,131.91,0,1.19,3.67,0,0,0,0,0,1.26,0,0,45.55,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.8,0,0,0.63,28.83,0,0,0,0,0,0,0,12.42,0,0,0.93,114.78,0,0,0,0,0,0,0,0,0.59,0,0,44.48,0,0,0,0,1.02
 48-58,0,0,0,0,0,0,13.69,0,1.13,0,25.6,0,0,0,0,0,0,0,20.05,0,0,0.45,75.37,0,0,1.72,0,0,3.14,0,0,0.6,0,0,20.51,0,0,0,0,7.25
 60-70,0,0,0,0,1.46,0,14.63,0,0,0,27.99,0.79,0,0,0,0,0,8.73,34.14,0,0,0.74,41.62,0,0,0.94,0,0,0,0,0,0,0,0,6.37,0,0,0,0,0
 72-82,0,0,0,0,2.34,0,70.61,0,0,0,21.49,24.66,0,0,0,0,0,1.03,31.84,0,0,0,55.91,0,0,1.56,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0
 84-94,0,0,1.26,0,1.22,3.38,53.32,0,0,0,9.03,71.88,0,0,0,2.52,0,0,49.78,0,0,0.81,41.06,0,0,2.64,0,0,0,0,0,0,0,0,4.03,0,7.96,0,0,0
 96-106,0,0,0.87,0,1.47,0,78.19,0.74,0,0,47.71,134.16,0,0.71,0,0,0.75,0,33.55,0,1.82,2.2,53.67,0,0,1.69,0,0.83,2.88,0,0,0,0,0,0,0,1.15,1.9,0,0
108-118,0,0,1.22,0,2.72,0,62.29,0.46,0,0,35.19,222.25,0,0,1.54,1.3,2.86,3.24,24.86,0,1.35,0,76.41,0,0,2.31,0,0,2.21,0.42,0,0,0.55,0,4.09,1.62,0,0,0,0
120,0,0,0,0,0,0,18.48,0,0,0,11.78,283.44,0,0,0,0,0,12.82,35.85,0,0,0,81.46,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,2.01,0
