stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,120.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,0,0,0,0,0,0
  7-9,6.14,4.85,3.77,0,0,4.73,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0,0,84.98,0,0,0,8.93,0,77.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.59,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,60.79,0,0,0,13.93,0,11.86,0,5.68,0,0,0,0,0,0,0
 14-21,0,0,0,14.14,1.21,0,0,0,0,0,1.08,0,0,0,0,0,0,0,1.54,0,0,3.25,9.07,0,0,0,1.32,0,227.76,3.68,0,0,0.98,2.3,0,0,0,0
 24-34,0,0,0.76,3.6,0.79,3.3,0,0,1.4,0,0,0,0,2.08,0,0.82,0,0,5.24,0,0,9.72,34.4,1.11,0.71,0,0,0,294.17,0,0,0,0,8.54,0,0.71,0,0
 36-46,0,0,0,9.93,0,2.82,2.03,0,2.26,0,0,1.45,0,0,0,0,0,0,0.76,0,0,0,54.85,1.04,0.7,0,0,0,298.66,0,0,0,0,19.94,0,0,0,0
 48-58,0,0,0,6.93,0,4.58,3.53,0,0.48,0,0,0,0,0.61,0,0.44,0,0,10.94,0,0,2.85,34.28,0,0.39,0,0,0,158.08,0,0,0,0,1.42,0,1.89,0,0
 60-70,0,0,0,4.42,0,2.69,9.41,0,0,0,0,0,0.79,1.4,0,0,0,0,1.53,0,0,0,12,2.62,0,0,0,0,203.13,0,0,1.84,0,2.66,0,1,0,0
 72-82,0,0,0,17.23,0,7.38,2.83,4.49,2.47,0.58,0,0.93,0.75,1.62,0,0,0,0,9.41,1.45,0,0,47.82,0,11.13,1.14,0,0,180.69,0,0,0,0,2.98,0,2.14,4.01,0
 84-94,0,0,0,19.14,4.14,5.18,5.99,0,3.56,0.86,0,0,1.04,3.26,0,0,0,1.76,11.94,3.34,4.57,2.26,30.49,0,4.1,0,0,0,487.27,0,0,5.42,0,4.18,0.56,3.85,0,9.31
 96-106,0,0,0,76.95,9.29,24.19,6.58,1.62,22.96,2.35,0,1.22,5.85,4.44,2.73,0,1.13,0,17.09,1.65,0,0,90.28,0,4.81,0,0,0,372.98,0,0,5.77,0,2.51,0,8.85,2.56,12.76
108-118,0,0,0,47.83,0,13.25,11.34,0,4.68,1.9,0,0,3.14,7.41,0.9,0,0,3.15,11.39,0.96,0.69,0.63,48.59,0,3.01,0.51,0,1.84,374.96,0,0,0,0,3.51,0,0,0,1.25
120,0,0,0,26.46,9.86,3.32,5.06,0,31.08,5.49,0,0,4.86,2.51,0,0,0,0,18.2,0,8.33,0,39.67,2.47,1.61,0,0,0,178.94,0,2.83,0,0,0,0,0,0,12.89
