stage,blastomeres,endoderm,eye,glial,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  3-4,17.88,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.49,0,0,0,0,0,0,0,0,9.89,7.49,0,0
  7-9,0,7.18,0,0,0,0,22.59,14.3,0,14.19,0,0,0
 10-12,0,0,4.68,0,0,0,11.13,0,0,6.4,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.95,0
 24-34,0,0,0,0,0,0,2.72,0,0.74,0,0,0.85,0
 36-46,0,0,0,0,0,3.13,3.02,0,0,0,0,0,0
 48-58,0,0,0.43,1,0,1.91,3.47,0,0,0,0,0,0
 60-70,0,0,3.28,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.21,0,0,0,0,0,0,3.36
 96-106,0,0,0,0,0,3.34,0,0,0,0,0,0,0
108-118,0,0,0.78,0,2.42,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.52,0,0,0,0,0,0
