stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,63.34,2450.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.74,0,0,0,0,0,0,0
  5-6,126.25,1161.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,16.33,0,0,0,0,0,0,0
  7-9,3.82,0,0,3.44,0,0,0,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0,74.6,3.38,0,0,8.37,0,15.08,0,0,0,0,0,0
 10-12,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,3.78,19.74,0,9.66,0,0,0
 14-21,0,0,0,2.12,5.9,0,0,0,0,8.56,0,0,5.53,0,0,0,0,0,0,0,0,0.89,0,0,0,0,12.05,0,30.6,0,0.97,0.8,0,0
 24-34,0,0,0,1.88,5.69,0,1.18,0.75,0.64,1.02,0,0,18.19,0,0,1.81,0,0,0.77,0,0,8.8,0,0,1.46,0,31.5,0,24.55,0,0,0,0,0.85
 36-46,0,0,0,0,4.88,0,0,5.17,0,1.43,0,0,15.57,0,5.64,5.01,0,0.56,0.72,0,0,7.78,0,0,1.37,0,38.48,0,28.05,0,0,0.69,0,0
 48-58,0,0,0,0,25.17,0,1.26,2.13,0,1.3,0,7.1,4.36,0,0,0,7.23,1.47,3.02,0,0,14.75,0,0.5,0,0,41.38,0,9.57,0,0,0,0,0
 60-70,0,0,0,0,9.15,0,1.5,5.98,0,2.05,4.08,4.34,12.45,0,1.27,0,0,1.76,0,0.63,1.02,20.32,0,0,4.69,0,31.34,0,8.68,0,0,0,0,0
 72-82,0,0,0,0,12.38,0,4.91,1.07,0,2.38,1.17,1.26,13.82,0,0,2.02,0.64,6.09,0.84,0,0,9.41,0,1.69,3.3,0,13.87,0,5.79,0,0,0,2.49,0
 84-94,0,0,1.53,0,35.7,0,1.27,0.75,4.29,2.08,0,5.12,23.81,0,0,0.6,0,3.94,0,0,0.87,11.92,0,3.06,5.81,0,39.58,0,6.05,0.55,0,0,0,0
 96-106,0,0,0,0,17.67,3.96,0.79,2,0,4.83,0,5.11,17.48,5.57,1.48,3.26,0.68,4.61,3.56,0,0,5.08,0,4.4,8.36,0,46.5,0,0.68,0,0,0,0.79,0
108-118,0,0,0,0,20.83,0,4.01,6.78,0,12.54,0,4.15,37.41,0,0.97,2.39,0,4.51,0,0,0,9.61,0,0,3.45,0,38.39,0,3.96,0,0,0,1.26,0
120,0,0,0,0,49.53,0,0,2.08,0,24.71,0,8.47,26.29,0,0,7.39,0,0,4.94,0,0,0,0,3.99,1.47,0,28.07,0,4.27,0,0,0,2.06,0
