stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,50.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.3,0,10.9,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,107.53,0,0,0,20.23,0,0,0,0,0,0,0,0
 10-12,0,0,5.6,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.51,11.88,0,0,48.3,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.2,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,2.37,19.04,0,0,0,0,0,4.12,7.55,3.15,6.35,1.14,0,0
 24-34,0,0,0,6.18,1.18,10.15,0,0,0,0.63,0,0,2.17,0,0.6,0.64,0,0,0,13.44,0,5.59,99.85,0,0,0.71,0,0,6.28,0,0,13.73,2.66,0,0
 36-46,0,0,0.63,2.4,0,5.18,0,0,0,2.12,0,0,0,0,7.57,0,0,0,0,1.82,0,0,19.7,0,0,0,0,0,9.13,0,0,5.44,0,0,0
 48-58,0,0,0,0,0,7.38,0,0,0,6.42,0.92,0,0,0,0,0,0,0,0,8.81,0.39,1.32,25.95,0,0,0,0,0,4.99,0,0,8.97,0,0,0.48
 60-70,0,0,0,10.35,0,4.58,0,2.6,0,5.95,0.69,0,0,0,0,0,0,8.95,0,20.15,0,1.72,7.89,2,0,0.9,0,0,2.22,0,0,2.3,4.1,0,0
 72-82,0,0,0,1.35,0,2.64,0,0,1.5,17.62,0,0,0,0,0,0,3.69,0,0,28.13,2.23,1.23,15.73,0,0,0,0,2.23,1,0,0,0,10.35,0.49,0
 84-94,0,3.73,0,8.97,0,2.76,0,0.92,3.3,1.05,0,0,0,1.16,0,0,0,6.05,0,8.72,0,3,4.73,1.34,1.37,0,0,0,5.49,0,0,3.21,0,0,0
 96-106,0,1.15,0,1.51,0,16.41,0,0,0,1.93,0.68,0,0,0,0,0,1.05,0,0,10.47,0,1.37,2.86,0,0,0.65,0,0,2.6,0,0,0,0,1.26,0
108-118,0,0,0,2.12,0,14.13,0.54,0.69,0,3.9,0.74,0,0,0.8,0,3.4,0,0.98,1.1,12.95,0,0,7.63,0,0,1.76,0,1.05,5.2,0,0,0,3.44,0,0
120,0,0,0,4.53,2.17,8.71,0,0,0,20.21,0,0,0,0,0,4.85,0,0,0,3.08,0,0,2.97,0,1.99,0,0,0,5.3,0,0,0,0,10.7,0
