stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,30.31,41.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,53.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.49,0,0,0,6.31,3.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.69,0,0,0,10.55,7.72,0,0,0,0,0,0
 14-21,0,0,0,0,45.11,0,0,0,0,0,1.08,0,0,3.71,0,0,0,0,1.02,0,0,1.53,0,0,0,0,15.86,0,1.34,0,0,0,0
 24-34,0,0,0,1.7,36.06,0,0,8.62,0,0,0,0,0,19.17,0,0.65,0,0,1.86,3.75,0.72,25.31,0,9.73,1.29,0,100.15,0.6,0,4.98,0,0,0
 36-46,0,0,0,0,29.49,0,1.63,4.36,0,2.89,0.72,0,0,17.85,0,4,0,0,2.74,7.03,1.34,33.04,0,0,0.57,0,129.26,0.58,0,1.48,0,0,0
 48-58,0,0,0,0.86,51.67,0,6.26,14.94,0,0,0,0.91,0,9.67,0,4.89,0,0,2.16,6.1,0,16.74,0,2.44,0.95,0,55.42,0.37,0,0.96,0,0,0
 60-70,0,0,0,0,17.66,0,0.81,9.68,0.84,0,2.28,0,0,2.29,0,2.29,0,0.93,2,10.11,0,15.05,0,1.03,0.85,0,60.15,1.12,0,3.64,2.13,0,1.56
 72-82,0,0,0.76,0,24.47,3.27,6.94,10.77,0,3.7,3.09,0,0,4.81,0,10.12,0,0.64,8.65,16.13,3.16,11.87,0,0.75,0,0,50.75,0,0,4.77,0,0,8.58
 84-94,0,0,0,0,51.67,0,5.61,24.64,0.67,0,11.67,0,0,9.17,0,0.66,0,0,5.02,8.12,2.16,12.33,0,3.69,0.58,0,146.41,0.58,0,1.68,3.25,0,0.76
 96-106,0,0,1.04,1.03,44.41,0,15.25,6,0,0,11.73,2.38,0,15.45,0,4.83,10.68,0,4.14,27.74,2.02,10.85,0,5.33,5.07,0,104.29,1.4,0,1.79,7.8,0,0
108-118,0,0,4.12,0,53.92,0,1.61,7.16,0,0,19.76,0,0,14.72,2.25,3.65,0,0,2.5,12.12,0,4.47,0.92,2.51,6.83,0,69.92,0.48,0,0,6.34,0.77,0
120,0,0,0,0,56.22,0,4.56,8.46,0,7.21,28.34,0,1.19,21.43,0,7.95,0,0,4.97,42.15,0,30.2,0,3.97,3.32,0,96.48,0,0,0,8.95,0,0
