stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.88,771.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.84,563.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.71,0,0,0,0,0,26.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,37.2,0,0,4.2,0,0,0,7.37,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,70.1,30.14,0,0,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.34,0,0,0,82.32,0,0,3.78,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.38,0,0,0,0.98,0,4.53,0.88,1.54,0,0,0,0,0
 24-34,0,0,0,0,7.05,0,0,6.51,239.75,0,0.74,2.42,0,0,0,0,0,0,0,0,7.03,0,0,76.16,106.28,0.69,0,5.82,0,0,12.84,0,0,2.18,68.38,10.42,6.34,0,0,6.37,0,0
 36-46,0,0,0,0,0,0,0,14.91,597.44,0,0.79,4.89,0,0,1.05,0,0,0,0,0,18.8,0,0,63.31,89.13,0,0,2.26,16.41,0,2.35,0,0,0,168.79,0,8.84,0,0,0,0,5.32
 48-58,0,0,0,0,1.74,1.97,0,37.04,488.03,1.82,0,15.14,0,0,0,0,6.52,0,2.25,3.62,20.8,0.52,0,44.9,124.84,0,0.5,0.41,0,0,2.28,0,0,0.42,112.64,0,15.51,0,0,0.61,0,2.31
 60-70,0,0,0,0,0.76,0,0,56.47,359.88,0,0,5.46,0,0,0,0,0,0.77,0,2.22,22.22,0,0.95,57.95,111.18,0,1.31,19.26,0.81,0,8.38,0,0,0,73.18,0,13.01,0,0,0,0,0
 72-82,0,0,0,0,0,0.95,0,72.12,202.07,0,2.26,16.81,1.23,0,0.73,0,0,0,0,0.64,11.35,0,3.83,27.2,111.14,0,0.97,10.59,0,0,9.26,0,0,0,55.43,0,17.97,0,0.9,1.99,0,8.32
 84-94,0,0,1.11,0,5.57,14.38,0,72.89,439.89,0,3.15,14.66,0,0,0,0.79,0,1.7,0,0,35.58,0.86,1.8,50.17,126.09,0,2.48,14.72,0,4.73,21.4,0,0,0,78.81,0,33.8,0.72,0,0,0.91,0
 96-106,0,0,0,0,12.1,17.62,0,79.18,523.53,1,0,42.44,0.94,0,0,1.74,0,0,1.58,0,41.56,2.38,2.84,13.51,146.24,3.55,7.39,17.45,0,0,16.02,0,0,0,95.15,0,16.32,2.19,0,8.11,0.69,9.55
108-118,0,0,0.75,0,2.88,1.61,4.46,55.05,399.21,3.19,0,36.2,0.66,0,1.63,0,0.8,1.58,5.9,8.06,26.9,0,0,38.72,105.42,0.51,0,19.01,0,0.96,2.13,0,0,0,85.54,0,3.77,0,0,4.82,0.68,0.82
120,0,0,0,0,9.65,3.75,0,52.08,222.73,0,0,11.99,1.38,0,0,0,0,1.15,0,0,50.7,0,0,50.96,83.74,16.67,0,8.14,0,0,7.07,2.5,3.36,0,56.13,0,0,0,0,0,0,0
