stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.94,573.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.93,319.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.58,0,0,0,0,0,25.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.18,3.28,0,0,6.52,0,3.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.65,0,10.39,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.11,0,0,0,25.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.24,3.86,7.06,0,5.54,0,0,0,1.81,4.19,0,0,0,0,0,0,0,3.35,0,0,1.93,82.44,0.82,3.98,4.78,0,0,4.2,0,0.97,2.29,0,3.37,48.83,0,0,1.22,0,0
 24-34,0,0,2.61,0.62,1.35,0,15.46,0,0,0,2.46,0,0,0,0,2.95,0.6,1.3,0.78,2.18,0,0,1.92,341.31,0,20.76,2.85,0,0,2.13,0,0,2.12,0,0,81.51,0,0,0,0,0
 36-46,0,0,2.33,0,2.48,0,50.6,0,0,0,9.49,0,0.76,0,0,0.61,0,0,0,0.67,0,1.26,1.1,889.71,0,20.86,2.18,0,0,9.32,0,0,3.86,0,0,123.39,0,0,0.56,0,0
 48-58,0,0,0,0,3.67,0,142.87,0,0,0,11.03,0,6.23,0,1.6,6.63,0,0.7,0,11.77,1.1,0,1.67,979.38,0,13.51,0,0,0,3.49,0,0,0,0,0,120.27,0,0,0,0,0
 60-70,0,0,0,0,3.75,0,565.67,0,1.85,0,36.37,1.94,8.16,0,0.6,0.6,1.52,0,0,16.27,0,0,2.11,1205.69,0,9,0,0,1.13,15.78,0,0,0.58,0,0,189.35,0,0.6,3.55,0.77,2.22
 72-82,0,0,1.32,0,10.77,2.6,1260.03,0,0.78,1.08,50.97,2.91,2.19,0,2.68,0,5.7,0,3.19,39.04,1.23,18.28,1.68,1289.86,0,12.18,7.58,0,0,12.49,0,0,0.57,0,0,109.48,0,2.3,1.92,2.01,1.88
 84-94,0,0,3.84,1.04,0.91,4.12,1075.55,0,0.58,0.87,58,7.71,0.66,0,0,6.25,3.16,7.73,0,37.28,0,0,1.36,805.84,0,7.8,4.12,0,0,27.9,1.4,0,0,0,0,42.52,6.32,0,0,3.48,0
 96-106,0,0,4.21,0,15.9,7.72,1231.99,0,0,0,68.77,6.86,0,5.17,14.89,1.46,1.83,8.56,4.28,48.3,0,0,3.06,803.36,0.69,30.12,6.93,0,2.69,21.46,0,0,0.73,0,0,38.28,4.43,0.79,3.7,4.81,8.97
108-118,0,0,8.36,0.59,14,7.44,1141.15,0,2.77,1.75,91.25,20.91,0,0,4.2,2.2,1.6,14.45,0,68.26,3.17,2.97,0.43,1283.68,0,22.19,12.18,0,2.04,18.13,0,0,0,0.43,0,58.03,4.31,0,0,2.83,5.76
120,0,0,19.76,0,39.92,8.63,672.2,12.08,2.35,0,86.05,12.93,0,0,0,2.21,0,4.97,0,43.13,4.5,4.76,0,1492.65,0,3.15,1.16,0,0,6.96,0,0,0,0,0,35.74,13.36,1.32,14.71,0,0
