stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,242.32,0,53.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.67,111.36,0,0,36.06,0,3.1,0,0,0,77.15,0,0,0,0,0,0
 14-21,0.89,0,30.41,2064.79,50.49,0,58.95,0,0,0,4.4,18.45,5.57,36.61,0,5.06,0,1.12,0,0,1010.77,4.28,0,840.84,338.85,2420.42,0,170.14,32.74,0,52.71,137.5,26.67,1333.01,2072.3,3804.29,0,0,10.29,0,0
 24-34,7.05,0,57.88,2848.44,17.43,0,256,21.27,17.55,10.25,60.45,8.11,0,87.95,0.61,1.07,0,23.37,6.57,0.7,2464.92,32.77,11.53,933.24,787.97,2613.02,4.5,90.05,0,6.19,104.8,11.79,78.15,361.97,883.64,3693.3,0,0,216.02,0,0
 36-46,0,0,6.69,1693.28,7.06,0,166.84,65.27,49.17,52.18,111.72,16.79,0,152.33,14.18,10.97,0.74,29.69,13.14,0.7,2823.69,14.6,81.57,1004.77,480.92,3157.84,16.47,96.78,0,17.6,117.68,11.89,85.55,145.94,29.05,2757.03,0,0.62,204.1,0,1.69
 48-58,2.31,0,0.92,728.12,2.52,0,166.61,30.59,90,51.61,126.97,15.97,0,52.06,0.84,1.52,0.68,14.53,0,5.68,2305.39,4.99,115.67,300.41,440.75,1979.16,6.02,58.32,0,5.36,279.38,0,27.07,64.16,0,3575.74,0,7.29,379.33,1.56,11.57
 60-70,2.71,0,0,701.35,0,0,296.13,44.14,103.2,80.02,353.86,47.1,0,34.03,1.8,4.36,4.96,11.36,6.57,0,6041.12,5.21,307.92,251.3,437.75,1436.95,3.25,88.33,0,10.8,97.05,0,39.2,63.1,0,2023.1,0,81.22,342.65,81.06,30.91
 72-82,0,1.04,0.63,648.51,23.57,2.97,576.25,31.83,112.46,165.65,232.23,142.59,4.68,20.43,8.61,1.06,7.14,12.63,9.9,0,9297.27,9.19,212.58,420.06,532.22,699.95,7.22,110.07,2.25,26.17,148.77,0,27.07,19.62,0,2290.26,3.98,258.35,653,147.03,39.72
 84-94,5.55,0,1.7,1103.82,26.28,0,827.65,83.21,200.43,142.3,192.08,212.26,0,33.84,5.8,9.75,3.75,2.82,2.25,28.5,7549.08,20.26,212.39,264.86,343.07,1064.84,3.51,144.56,0,8.41,324.13,0,91.27,25.98,0,2094.27,0,179.95,649.69,209.98,5.36
 96-106,3.8,2.39,1.74,1500.84,85.38,7.87,1119.69,38.51,316.26,128.28,278.86,389.11,0,43.92,9.33,11.93,6.56,10.65,59.35,14.09,7523.16,39.24,168.99,216.5,549.97,1078.1,7.27,355.46,0,34.98,587.54,0,105.48,29.62,0,3204.06,2.29,318.8,905.15,237.39,0
108-118,13.39,0.84,2.92,965.65,26.21,4.97,1192.1,49.61,213.18,274.79,226.15,566.26,0,26.04,12.52,5.48,3.2,2.27,10.37,11.18,8637.19,12.77,122.76,255.99,594.62,1330.93,3.38,384.8,0,34.52,335.24,0,124.47,35.52,0,1623.51,12.45,255.67,916.3,163.42,2.56
120,16.29,0,0,669.78,29.67,11.03,608.69,26.69,132.17,82.94,184.01,223.7,5.2,8.8,0,7.34,1.74,7.85,29.87,0,6524.42,2.58,50.35,141.69,511.07,1635.31,18.21,285.28,0,84.29,239.12,0,41.63,20.65,0,1249.99,0,316.11,569.31,107.81,10.22
