stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,4.62,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,105.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,112.16,0,0,74.18,0,0,0,0,0,0,1.34,0,0,0,0,10.41,0,819.63,0,0,97.03,124.45,0,0,0.99,0,0,1.04,1.08,2.07,1.09,7.64,7.02,0,0,0.89,0,0
 24-34,0,0,0,103.04,11.14,0,416.85,11.69,0,1.71,2.16,0,4.49,2.26,0,0,4.95,0.72,1.79,0,2393.55,0,0,552.98,304.51,12.05,5.45,3.65,0,0,37.99,1.59,0,3.55,6.27,43.05,0,0,3.32,0,1.87
 36-46,0,0,0,39.14,0,0,366.04,9.07,1.06,0.95,6.15,0,0,0.68,0,0,0.88,2.16,0,0,1891.51,0,0,531.35,487.96,5.59,4.08,24.56,0,0,25.01,8.56,0,3.23,1.38,40.59,0,0,5.42,0,2.94
 48-58,0,0,3.01,68.15,0,0,281.54,2.49,0.38,5,37.58,0,0,0,0,6.07,0,0,1.92,8.58,2163.03,0,7.39,282.17,551.9,2.34,1.36,57.26,0,0,17.13,0,0,1.9,0,60.19,0,0.91,1.5,0,0
 60-70,8.07,0,0,33.84,0,0,193.05,0,0,0.93,26.81,0,0,0,0,0,0,2.52,0,0,1811.89,1.27,39.44,145.12,396.89,0,9.47,32.23,0,2.88,19.73,0,0,1.33,0,32.58,0,52.11,0,12.64,0
 72-82,0,0,0,25.77,5.13,0,168.49,0,5.22,0,21.85,4.47,0,0,0,0,0,0,0,0,1523.15,0,63,95.2,215.23,4.58,1.05,145.09,0,0,3.08,0,0,0,0,44.57,0,111.55,0,28.74,0
 84-94,0,0,0,19.88,2.08,0,271.11,0,0,1.88,14.48,1.87,0,0,2.91,1.56,0,16.71,0,0,1493.57,0,63.09,96.7,95.47,0,0.83,24.03,0,2.83,0.66,0,0,0.97,0,12.7,0.86,151.15,0,15.92,0
 96-106,0,0.88,0,39.54,8.38,0,155.37,0,1.58,0,15.95,2.6,0,0,1.53,0,0,4.47,0,10.96,1229.78,0,57.69,60.15,111.44,0.69,0,88.2,0,9.61,8.86,0,4.64,4.28,0,4.78,0,62.9,0,17.81,0
108-118,0,0.54,0,29.55,6.44,0.55,399.55,0,0,0,17.8,2.53,0,0,0,5.62,0,0,0,0,1692.28,0,68.87,77.74,144.85,2.14,2.07,87.1,0,6.38,5.53,0,9.19,0,0,12.45,1.87,60.62,0,17.49,7.57
120,4.46,0,0,35.05,0,0,273.87,0,0,0,23.04,6.08,0,0,0,0,0,4.71,0,0,1241.59,0,183.84,41.28,145.88,13.24,0,34.04,0,65.54,13.32,0,2.11,0,0,8.28,11.56,21.19,1.46,66.8,0
