stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,pericytes,periderm,taste,visceral.smooth.muscle
  3-4,17.23,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.08,47.32,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0
  7-9,0,0,4.42,0,0,0,0,0,0,22.88,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,18.58,0,4.22,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0
 36-46,0,0,0,0.88,0,0,0,0,0,0.86,0,0,0,2.25,0,0
 48-58,0,0,0,0,0.98,4.63,0,0,0.82,2.75,0,0,0,1.57,0,0
 60-70,0,0,0,0,15.2,0,0,0,0,7.3,0,0,0,0,0,0
 72-82,0,0,0,2.07,244.96,0,0,0,1.21,5.01,0,0,1.03,0,0,0
 84-94,0,0,0,0,159.09,0,0,0,0,2.81,0,0,0,0,2.36,0.6
 96-106,0,0,0,0,105.32,0,1.86,0,1.39,10,1.84,0,0,0,0,0
108-118,0,0,0,0,125.27,0,0,2.95,0,6.26,0,0,0,0.5,0,0
120,0,0,0,0,372.08,0,0,0,0,11.49,0,0,0,0,0,0
