stage,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,melanocytes,neural,otic,periderm,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0
 14-21,0.86,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.72,0,0,1.53,0,0
 48-58,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,24.21,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,1.56,1.57,0,0,0,0
 84-94,0,0,0.79,0,0,0.66,2.52,0.83,0,29.69,0.8,0,0,1.89
 96-106,1.42,0,0,0,0,0,1.89,0,0,16.71,3.75,0,0,1.69
108-118,0,0,0,0.49,0,0,2.26,0,0.55,8.18,0,0,1.41,1.22
120,0,1.35,0,4.05,2.58,0,4.74,0,1.09,77,0,0,0,0
