stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,270.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0
  5-6,20.71,129.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0
  7-9,0,3.67,0,14.27,0,8.63,0,0,0,0,0,0,0,0,0,0,0,35.52,7.9,0,0,27.45,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,118.73,0,0,0,11.2,0,0,9.52,0,0,0,0,0
 14-21,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,3.36,16.61,0,1.74,0,0.82,0,2.06,0,3.08,0,0,0,0
 24-34,0,0,0,0,0.87,0.76,0,0,0,0,0,0,0,0,8.66,0,1.94,27.8,10.06,1.05,0,0,0,0,0,7.3,0,0,0,0
 36-46,0,0,0.73,0,3.66,5.45,0,4.04,0,0,3.68,0,0,0,6.15,0,1.54,76.52,0,0,3.52,0,0,0,0,9.97,0,0.65,0,0
 48-58,0,0,0,0,1.04,15.35,0,9.14,0,0,0,0,0,0,3.99,0,0.74,84.06,0,1.19,0,0,0,0,0,11.79,0,0,0,1.85
 60-70,0,0,0,0,2.63,33.53,3.94,7.64,0,3.44,0,0,0,6.05,13.32,0,0,120.28,0,0,3.91,0,0.57,0,0,11.07,0,2.1,0,18.51
 72-82,0,0,0,0,4.88,28.39,0,2.85,0.71,0,0,0,6.2,0,17.74,1.12,0,125.21,0,0.49,0,0,0,0,0,10.8,0.66,0,0.53,0
 84-94,0,0,0,0,0.8,16.34,0,2.54,0,0,0,0,0,4.37,5.08,0,1.43,82.41,0,0,0.95,0,1.51,0,0,4.39,0,0,0,0
 96-106,0,0,0.99,0,0,25.7,0,5.94,0,0,0,0,0,0,23.11,0,0,102.11,0.91,1.82,0,0,0,0,0,10.11,0,7.55,0,1.13
108-118,0,0,0,0,0,29.7,0,8.66,0.75,0,0,0,0,0,9.11,0.71,0,109.51,0,0,0,0,1.19,0,0,11.38,0,0,1.72,3.84
120,0,0,0,1.28,3.77,33.99,0,28.21,0,0,0,2.98,0,0,17,0,0,201.99,1.39,2.2,0,0,4.04,0,0,0,0,0,0,0
