stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.38,0,0,3.27,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,18.42,0,0,0,0,0,0,0,0
 24-34,0,1.59,0,0,0,0,0,7.88,0,117.23,0,1.7,0,0,4.08,0,0.6,0
 36-46,0.94,1.43,3.52,0.62,12.98,0,0,21.61,9.34,133.84,0,0.79,0,0,0.9,0,5.71,0
 48-58,0,12.67,0,0,28.82,0,0,40.29,1.06,92.17,0,6.1,0,0,7.59,1.01,3.53,0
 60-70,0,0,0,2.39,30.72,0.76,0,71.51,0.67,51.5,0,0,0,0,13.42,0,7.78,0
 72-82,0,4.87,0,1.4,0.76,0,0,86.84,0.5,45.03,0,0,0,0,3.69,0.49,18.89,1.78
 84-94,1.66,7.8,0,1.93,2.27,0,0,97.46,0,6.59,0,0.66,0,0,5.7,0,6.17,0
 96-106,0,0,0,0.82,1.6,0,1.55,56.55,0,7.3,0,0.69,0,0,0,0.8,2.43,0
108-118,0.84,1.88,0,2.42,0,0,0,39.72,0,14.23,0,3.01,0,0.62,0.65,0.67,7.97,0
120,0,3.09,0,0,16.75,0,0,61.77,7.45,29.99,1.37,0,0,0,0,0,13.34,0
