stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,48.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.44,69.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,40.45,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.08,3.56,0,0,36.86,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0.97,0,0,32.7,0,12.27,0,0,0,0,4.12,1.54,22.2,0,0,2.26,0,0
 24-34,0,0,0,1.35,0,1.89,0,0,0,1.07,0,0,0,0,0.7,0,2.07,0,2.67,200.62,0,28.45,2.91,0,0.95,0,22.96,0,75.02,0,0,0,0,0
 36-46,0,0,0,0,0,17.49,0,0,0,1.82,0,0,0,0,0,0,0,0,3.54,538.8,0,12.47,0,0,0,0,9.77,0,112.27,0,0,0,0,0
 48-58,0,0,0,3.38,0,47.9,0.9,0,0,9.77,0,0,0,0,0,0,4.84,0,6.36,877.77,0,12.4,0,0,1.05,4.15,0.93,0,172.02,0,0,0,0,0
 60-70,0,0,0,5.42,0,126.09,0,0,0,1.28,0,1.8,0,0,0,0,10.89,0,0,1106.63,0.62,15.17,0,0,0,0,1.29,0,151.51,0,0,0,0,0
 72-82,0,0,0.95,1.55,0,142.51,0,0,1.27,12.95,1.1,0,0,0,0.63,0,4.7,0,0.63,1215.92,0,31.66,1.71,0,2.95,0,0,0,137.11,0,0.66,2.1,0,0
 84-94,0,0,0,2.34,6.15,91.05,0,0,5.14,13.22,0,0,0,0,0,0,10.61,0,0,745.09,0,38.06,2.59,0,1.26,0,0,0,69.13,0,0,0,0,0
 96-106,0,0,0,0.61,0,94.65,0,0.59,3.93,4.64,2.52,0,0.57,0,0,0,5.88,1.14,0,675.76,0,57.14,0.67,0,3.35,0,0,0,20.01,0.58,0,0,0.68,6.2
108-118,0,0,0,8.15,1.7,97.25,0.78,0,0.66,5.64,0,1.25,0,0.42,0,0,12.55,0,0.82,814.24,0,28.32,17.93,0,0,0,0,0,22.68,0.68,0,0,3.66,0
120,0,0,0,30.98,2.43,165.93,0,0,0,43.57,0,0,0,6.33,3.86,0,12.33,0,0,1646.76,0,44.37,6.39,0,2.28,0,0,0,109.04,0,6.76,10.1,0,0
