stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,216.5,3458.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.64,0,0,0,0,0,0,0,0,0,0
  5-6,316.84,4623.33,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.84,10.72,0,0,28.52,0,74.25,0,0,0,0,0,0,0,0,0,0
  7-9,80.84,67.45,172.01,0,0,0,284.42,0,0,56.61,0,0,0,0,0,0,0,0,0,2728.65,67.7,0,0,1044.07,0,3.31,9.04,0,0,0,0,0,0,0,0,0
 10-12,0,46.9,104.28,0,12.27,0,149.49,0,0,26.5,0,0,0,0,0,0,0,0,0,1517.77,20.6,0,0,552.43,0,0,0,9.6,78.99,0,4.33,0,0,0,0,0
 14-21,0.93,0,3.71,13.8,4.94,0,4.63,1.97,0,0,0,0,1.11,0,0,4.95,12.78,0,13.1,206.24,0.88,1.22,0.82,2.59,0,11.81,0,17.29,0,8.8,62.35,0,0,0,0,0
 24-34,0,0,0,4.17,1.88,0,58.16,10.14,0,0,0,0,0,7.72,0.86,0.65,31.36,0,15.57,501.9,0.65,3.07,0.82,0,0,15.06,0,0,0,0.59,109.75,0,0,9.32,0,0
 36-46,0,0,0,5.35,22.55,0,158.58,14.22,0.95,0,0,14.05,0,0.91,3.11,0.67,59.56,0,13.64,401.44,1.24,3.13,1.4,0,0,12.37,0,0,0,0,98.26,0,0,11.48,0,1.54
 48-58,0,0,0,2.38,0.82,0,256.12,11.73,0.92,0,1,7.48,0,0,0.42,0.39,51.51,1.44,4.59,233.92,1.15,0,6.98,0,0,1.41,0,0,0,0,42.26,0,0,9.99,0,0
 60-70,0,0,0,11.84,0,0,130.61,28.25,0,0,0,1.29,0,1.89,1.34,0,26.35,7.01,3.41,116.21,0,0,1.12,0,1.93,0,0,0,3.18,0,2.81,0,0.8,8.06,0,6.82
 72-82,0,0,0,9.43,0,0,52.94,8.48,0,0,1.25,1.21,0,0,0.86,0,29.29,1.08,0,39.89,0,0,1.4,0,0,0,0,0,0,0,1.91,0,0,3.89,0,0
 84-94,0,0,1.01,4.92,0.68,0,37.3,3.9,2.17,0,0,1.43,0,0,0,0,38.78,6.18,4.94,75.9,3.6,0,0.64,0,0,1.83,0,0,0,0,1.3,0,0,6.44,0,0
 96-106,0,0,0,2.57,0.78,2.16,31.22,8.43,1.39,0,0,1.21,0,0,0,0,13.14,0,2.67,29.41,0,0.73,10.41,0,0,1.46,0,0,0,0,0,1.17,0,7,1.72,0
108-118,0,0,0,5.5,3.14,0,30.92,10.52,0.53,0,0,2.17,1.09,1.57,0.6,1.62,8.74,0.94,3.29,50.87,2.55,0.77,1.6,0,0,5.46,0,0,2.53,0,0,0.58,0,3.87,0,0
120,0,0,0,3.31,2.86,0,37.69,10.44,0,0,0,6.13,1.36,14.56,0,1.43,20.48,0,1.01,55.13,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84,0,0
