stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,0,1.78,26.23,10.37,0,27.64,0,0,0,3.1,2.27,0,0.92,0,0,0,0,0,0.85,10.88,0,0,9.75,276.5,12.6,0,1.89,4.97,0,51.03,6.63,13.6,37.63,73.55,0,0,2.08,0,0
 24-34,0,1.26,0,16.05,2.4,0,78.24,0,0,0,14.21,1.12,1.11,0,2.25,4.78,0,2.42,2.96,1.22,48.94,7.06,0,12.77,627.05,0,10.87,6.74,0,25.47,0,13.83,2.2,7.41,124.1,0,0,4.77,0,10.42
 36-46,0,0,0,5.4,4.49,0,53.1,3.38,0,1.26,10.77,0,0,0.75,2.06,1.72,0,0,14.7,6.93,27.65,7.68,0.72,2.47,423.55,0,3.2,0.58,0,31.49,0,8.71,11.84,0,85.25,0,0,2.98,0,0.67
 48-58,0,0,0.45,15.81,0.4,0,67.87,8.82,0,0.79,31.85,3.26,0,0.4,1.09,6.97,0,2.2,3.74,1.53,36.66,0.42,3.39,10.07,438.6,1.01,1.52,4.54,0,11.14,0,0.74,4.21,0,41.98,0,0,1.46,0,10.8
 60-70,0,0,0,13.04,0,0,197.63,1.1,3.01,0.84,22.19,15.47,0,0,0,8.83,16.37,1.55,6.25,0,55.81,0,8.62,13.53,447.4,0,5.38,20.81,0,25.99,0,9.39,4.63,0,48.6,0,0,13.46,1.79,0
 72-82,0,2.35,0,1.12,6.46,0,191.92,1.49,1.27,3.66,46.56,8.83,0,0,4,0,5.13,2.44,3.73,0,31.28,0.59,0.55,6.98,422.17,0,6.85,10.22,0,5.36,0,2.42,0.53,0,22.78,0,0,1.35,1.42,14.57
 84-94,0,1.15,0,8.09,2.07,0,102.25,1.13,0,1.78,16,2.81,0,0,4.51,3.4,1.51,1.44,1.53,0,45.08,0.76,1.06,6.88,195.82,0,2.25,2.41,0,22.45,0,2.54,0,0,11.54,0,2.84,14.43,1.26,0
 96-106,0,0,0,2.59,0,0.66,62.94,0.89,0,0,18.63,3.53,0,0.71,0,2.16,0,0,10.62,0,4.86,0,0,2.06,87.27,0,1.93,4.94,0,5.47,0,1.05,0,0,3.92,2.08,0.62,1.63,0,0
108-118,0,0,0,7,3.24,0.68,72.13,0.67,0,0,10.91,2.61,0,0,5.99,4.73,0,0.83,3.35,0,8.75,0,0.69,6.28,194.11,0,0.44,1.94,0,4.45,0,2.96,0,0,6.23,0,0,7.68,0,0
120,0,0,0,7.4,8,0,138.06,0,0,1.44,41.44,9.99,0,0,17.48,1.28,0,2.11,8.46,1.6,18.21,1.05,0,12.35,404.62,0,11.93,5.96,0,14.82,0,5.25,0,0,0,0,0,6.42,0,0
