stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,54.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.74,0,0,0,21.27,0,0,6.93,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,4.22,0.83,0.98,0,0,0,0.99,0,0,0,0,0,0,1.01,2.49,0,0,28.52,0,0,0,0,2.59,2.27,0,0,5.36,16.29,0,0,0,0,0
 24-34,0,0,0,2.04,0.62,13.77,0,1.53,0,10.74,0,0.85,0,0.65,0,0,0,8.5,0,2.64,59.58,1.18,0,0.77,0,1.71,0,0,0,0.66,15.57,0,0,3.5,0,0
 36-46,0,0,0,4.53,0,11.98,0,0,0.75,1.5,0,0,0,0.74,0,0,1.31,3.33,0,0,83.44,0,2.49,0,0,0,0,0,0,0,18.56,0,0,0,0,4.11
 48-58,0,0.46,0,0,0,27.15,0.81,0.54,0,10,0,0,0,0,0,0,1.1,4.62,0,0,109.72,0,0,0,0,2.05,0,0,1.46,0,19.25,0,0,1.72,0,0.4
 60-70,0,0,0,1.63,0,45.27,0.59,0.96,0,2.17,0,0,0,0,0,0,0,20.3,5.67,3.33,92.57,1.36,1.19,0,0,6.12,0,0,0,0,29.92,0,1.56,0,0,0
 72-82,0,0,0,1.16,1.94,61.61,1.78,0.68,0,14.39,0,1.58,0,0.5,0,0.9,0,16.42,0,6.05,93.57,0,0,0,0,5.54,0,0,0,0,11.51,0,0.9,1.89,0,0
 84-94,0,0,0,1.58,0.77,39.39,0,0,0.91,6.91,1.88,0,1.74,0,0,0,0,7.71,1.81,3.05,57.86,0,0,0,0,5.72,0,0,0,0,7.19,0,1.91,3.43,1.06,0
 96-106,0,1.64,0,1.44,16.41,42.7,0,1.73,0,7.13,0,0,0.77,1.89,0.91,0,1.15,25.88,0,0,63.74,0,3.74,0,0,10.03,0,0,0,0,5.73,0.79,0,0,0,1.06
108-118,0,0,0,14.87,0,44.55,0,1.67,1.7,5.34,0,0,1.76,0.63,3.41,0,0.53,31.91,0,1.17,92.18,0,0,2.83,0,5,0,0.43,0,0,11.62,0,0,1.8,0,0
120,0,0,0,3.26,1.32,30.86,0,0,2.36,11.84,0,0,2.52,0,0,0,0,4.82,0,0,159.78,0,0,0,0,18.03,0,0,0,0,0,0,0,6.12,0,0
