stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2.89,11.21,0,1.42,0,0,0,0.87,0,0,0,0,0,0.88,0,0,0,0,17.58,0,0,0.84,0,3.28,3.93,0.99,1.23,4.49,5.18,0,0,3.08,0,0
 24-34,0,0.6,0,0.95,0,9.93,0,0,0,0,0,1.24,0,0,0,6.18,4.69,0.66,0,11.38,40.67,5.32,0,0,0,0,0,0.65,0,0.71,19.58,0,0,21.89,0,0
 36-46,0,0,0,0,0,4.73,1.8,0,1.03,2.19,0,0,0,0,0,4.82,6.77,0,0,2.01,82.14,0,0,0,0,2.94,0,0,0,0,7.65,0,0,11.67,0,0
 48-58,0,0,5.29,0,0,53.74,0,0,0.39,24.77,0,0,0,0,0,2.42,5.73,0,0,0.67,82.92,0,0,0,0,3.93,0,0,0,0,17.2,0,0,18.35,0,0.4
 60-70,0,0,0.58,0,0,194.91,0.59,0,1.03,5.42,0,0.7,0,0,0,1.05,27.97,0,1.3,1.55,63.75,0,1.38,0,0,5.26,0,0,0,0,3.72,0,0,0.96,0,0
 72-82,0.9,0,0.5,1.45,0,197.75,0,1.26,0,11.35,0,1.28,0.93,0,0,0,20.23,0,0,0.64,78.34,0,0,0,1.53,0,0,0,0,0,6.79,0,0.96,6.79,1.78,2.08
 84-94,0,0,0.57,4.13,0,180.98,0,0,0,4.73,0,0,0.93,0,1.97,5.05,6.43,0,0,1.71,38.17,0,3.31,0,0,9.59,0,0,0,0,1.13,0,0,1.8,0.78,0
 96-106,0.89,0,3.32,1.27,0,148.27,0,0,0,3.43,0,0.79,0,0,0,0,17.93,0,0.98,0.57,39.7,0,1.35,0,0,4.71,0,0.59,0,0,0.58,0,0,11.67,0.58,0
108-118,1.15,0,6.96,0,0,199.51,0,0.72,0,6.4,4.46,0,0.58,1.03,4.71,5.94,15.44,0,0,0.58,28.5,0,0,0,0,3.13,0,0.99,0,0,0,0.84,0,3.55,0.89,0
120,1.22,0,7.22,0,1.61,318.96,0,0,5.4,1.45,0,0,5.68,0,0,0,7.86,5.62,8.9,0,75.84,0,0,0,0,2.78,0,0,0,0,3.21,0,0,13.25,0,0
