stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,7.45,92.41,38.55,0,14.46,0,0,0,12.9,6.65,1.93,0,0,1.97,0.87,0,0.97,0,33.62,0,0,27.62,200.14,9.15,2.62,2.04,7.47,0,60.01,0,31.38,3.62,0,59.31,63.62,0,0,11.71,0,0
 24-34,0,0.6,39,0,0,30.55,0.9,5.8,1.53,27.77,0,0,3.3,0,5.81,1.14,0.85,0,0.7,81.17,0.86,0,36.47,426.42,6.4,2.38,4.95,0,0,105.91,0,1.03,7.76,1.27,10.19,120.95,0,0,59.95,0,4.57
 36-46,0,0,21.35,1.7,0,46.65,4.11,9.04,3.4,29.95,0.82,0,6.01,0,2.2,0.61,1.17,0,9.62,79.54,0,2.06,22.67,286.25,14.52,3.92,2.71,0,0.77,179.24,0,0,4.9,0,0,68.66,0,0,40.44,0.78,2.67
 48-58,0,0,29.9,0,0,81.77,6.07,13.4,9.08,64.76,2.44,0.93,10.7,0,0.52,0,0.48,3.95,6.4,109.03,1.28,2.24,11.14,273.6,0.5,2.58,6.37,0,0,121.72,0.65,0,0.78,7.84,0,70.56,0,0,31.74,0.78,7.44
 60-70,0,0,19.33,9.4,0,76.64,1.36,7.01,10.22,67.16,2.49,0,0,1.93,6.61,1.16,0.8,2.72,0,138.23,3.92,1.88,7.12,180.67,0,3.58,7.54,0,0.84,132.14,0,0,2.6,1.39,0,25.49,0,3.55,68.85,0,21.77
 72-82,1.49,0,18.97,11.58,0,80.89,2.09,5.97,12.03,82.22,6.31,2.53,4.03,0,2.32,1.66,1.41,0,0,159.86,2.31,6.91,15.18,133.73,1.98,1.56,2.64,0,1.31,57.06,0,0,1.28,0,0,24.87,0,5.21,52.2,4.86,2.23
 84-94,1.55,0,29.18,6.88,2.35,81.03,1.29,15.4,11.76,58.32,11.24,0,3.86,2.83,5.57,0.62,10.27,7.62,0,133.13,4.89,8.1,18.82,101.79,3.31,0.8,16.19,0,0,133.21,0,0,6.46,1.45,0,20.31,1.86,2.55,34.15,3.23,2.62
 96-106,0.91,0,22.3,15.91,1,61.49,0,13.24,0,77.9,10.3,0,6.07,1.27,6.44,7.76,4.41,0.6,1.7,137.23,0,7.09,22.16,83.9,0.62,2.69,4.53,0,1.32,222.88,0,0,2.62,0.57,0,5.62,0,3.94,51.28,1.79,12.03
108-118,0,1.1,34.68,4.52,3.55,40.54,1.32,15.15,4.57,88.68,21.13,0,0,3.4,6,6.81,3.95,11.93,6.35,130.43,8.26,15.49,16.66,115.58,3.11,2.22,8.33,0,5.16,128.55,0,0,4.39,0.57,0,6.19,0.88,3.22,47.36,1.92,5.78
120,2.94,0,60.03,16.16,0,50.59,1.66,14.08,22.69,71.29,14.77,0,6.86,9.06,5.34,1.43,0,6.12,1.33,259.54,2.21,11.21,15.27,153.3,0,0,6.75,0,0,109.42,0,0,4.46,2.07,0,17.7,1.19,8.73,45.3,12.42,3.14
