stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,23.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.85,0,0,0,6.72,3.29,0,0,0,0,0,0,0
 10-12,10.81,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.1,3.67,0,0,21.39,0,0,14.68,0,0,0,0,0
 14-21,0,0,0,3.82,0.81,0,0,0,11.41,0,0,0,0,0,0,1.21,0,0,0,0.91,20.67,1.85,0.89,1.05,0,0,2.65,15.93,1.03,1.62,55.74,0,8.62
 24-34,0,0,0,1.49,0,1.64,0,0,22.97,0,0,0,2.49,0,0,99.7,5.86,0,0,0,38.63,2.78,13.46,2.21,0,1.01,0,1.96,0,0,26.62,6.8,74.8
 36-46,0,0,0,0,0,5.96,0,0,33.97,0,1.53,0,21.76,0,0,163.2,7.51,1.3,0,0.6,63.1,0,18.8,0.72,0,1.68,0,2.03,0,0,39.84,0,153.59
 48-58,0,0,0,0,2,37.29,0,0,24.41,0,1.18,0,77.46,0,0,196.98,4.63,0,0,0,108.23,0,9.6,0.38,0,2.58,0,0.49,0,0,28.38,0,195.14
 60-70,0,1.44,0,0,0,76.93,0,0,18.95,5,0,0,85.37,0,0,132.25,5.92,0.85,0,0.75,65.48,0,10.97,0,0,0,0,0,0,0,11.5,0,155.32
 72-82,0,0.69,0,0.85,0,51.82,0,0,12.77,2.84,0,0,101.74,0,3.49,104.82,12.97,0,0,0,70.65,0,19.4,0.57,0,0,0,1.43,0,0,3.77,0,275.19
 84-94,0,0.94,0,0,0,36.2,0,0,12.9,3.28,0,1.52,107.28,0,0,326.01,5.97,3.16,1.03,0,35.93,0,22.2,2.45,0,5.43,0,0.74,0,0,8.64,0,245.67
 96-106,0,3.16,0,1.37,1.23,20.28,0,0,4.78,0,0,0,147.01,1.35,0,157.73,9.01,1.61,0,0,37.87,0.85,15.13,4.85,0,0,0,0,0,0,4.42,3.15,363.36
108-118,0,0.71,0,0,1.59,26.66,0.71,0.87,10.45,3.03,0,0.48,307.04,1.16,0,273.51,4.89,0,0,0.8,45.97,0,17.01,4.41,0,0,0,0.78,0.43,0,2.72,1.41,468.67
120,0,0,0,1.08,0,27.2,6.38,0,34.39,0,0,0,198.3,4.72,0,120.11,0,13.87,0,0,2.83,0,16.92,0,0,0,0,5.91,0,0,0,0,191.52
