stage,blastomeres,epidermis,eye,glial,hatching.gland,immune,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0
 10-12,0,0,0,0,3.87,0,0,0,0,19.26,0,0,0,0
 14-21,0,2.09,0.85,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.69,53.44,4.6,0,0,0,0,1.25,11.72,0,0,0,2.36
 36-46,0,0,79.97,0,0,0,0,0,0,7.84,0,1.83,0,3.67
 48-58,0,0,179.86,0,0,0,0,0.49,0,30.28,0,0,0,1.66
 60-70,0,0,332.31,0,1.21,0,0,3.09,0,32.13,0,0,9.34,0
 72-82,0,0,214.26,0.65,0,0,0,6.54,0,14.53,0,0,0,7.63
 84-94,0,2.97,227.21,0,0,0,0,4.41,0,24.37,0,0,0,1.03
 96-106,0,0.69,186.05,0,0,0.68,0,0.56,0,20.66,0,0,0,0
108-118,0,0,248.62,0.62,0,0,4.49,1.61,0,12.04,0,0,0,0
120,0,0,366.17,11.67,0,0,0,2.84,1.66,33.95,0,0,0,0
