stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,66.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.38,109.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,6.25,0,0,0,41.81,0,0,14.25,0,0,0,0,0,0
 10-12,0,0,0,0,4.53,0,0,0,0,12.43,0,0,0,39.22,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,4.32,0,0,0,0,0,0,2.09,0,1.03,5.34,3.59,0,0,0,3.24,0,3.77,0.92,0
 24-34,0,0,0,1.41,0,0,0,0,0,0,0,0,0,14.14,2,0,0,0.87,0,0,2.88,2.62,0
 36-46,0,0,0,0,0.83,0,0,0,0,0,0,0,0,4.65,1.28,0.87,0,0,0,0,0,1.1,0
 48-58,0,0,0,0,7.19,0,0,0,0.39,0,0,1.12,2.17,30.59,1.71,0,0,0,0,0.47,0,2.28,0
 60-70,0,0,0,3.05,22.94,1.08,0,0.99,0.84,0,0,0,10.51,48.31,0,0,0,0.86,0,0,0,1.69,0
 72-82,0,0,0,0.63,98.16,0,0,1.34,0,0,0,0,21.9,53.34,0,0,0,5.33,0,0,0,0,0
 84-94,0,0,0,0.67,47.87,0,0,1.48,0,0,0,0,7.04,48.87,0,0,0,1.29,0,0,0,0,3.54
 96-106,0,0,0,3.61,266.4,0,1.65,0.9,2.78,0,0,0,30.31,49.18,0,0,0,8.11,0,0,0,0,0
108-118,0,0,0,1.55,146.87,0,0.65,5.87,0.52,0,0.44,0,15.58,48.54,1.78,0,0,8.31,0,0.97,0,0,0
120,0,0,0,2.88,92.51,0,0,0,0,0,4.52,0,13.79,114.98,0,0,0,5.58,0,0,0,0,0
