stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,272.46,5886.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.31,0,0,0,0,0,0,0,0,0,0
  5-6,352.36,3880.04,0,6.55,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,49.45,0,0,0,8.05,0,1374.71,0,0,0,0,0,0,0,0,0,0
  7-9,10.65,22.4,0,20.8,0,0,0,39.27,0,0,0,0,0,20.4,0,0,0,0,0,0,0,0,0,0,0,544.57,17.67,0,0,137.51,0,740.24,25.98,0,0,0,0,0,0,0,0,0
 10-12,0,21.76,0,16.93,0,0,0,13.21,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,320.76,33.25,0,0,69.08,0,319.58,0,0,20.29,0,0,0,0,0,0,0
 14-21,0,0,1.24,2.11,15.57,15.82,0,2.16,0,0,0,0,0,0,0,0,21.21,0,0,0,0,0,2.34,0,0,38.53,55,1.96,0,0.96,0,458.49,0,2.68,1.56,0,22.4,0,0,0,0,0
 24-34,0,0,4.12,0.75,15.35,2.89,0,7.64,0,0,0,7.01,2.19,0,2.08,0,68.52,0,3.06,0.79,0,6.31,16.36,0,0.66,240.83,15.01,22.36,9.03,0,0,516.82,0,0,1.23,0.88,80.95,0,0,2.08,0,0
 36-46,0,0,0,0,5.29,0,0,10.62,0,11.37,0,8.85,0.68,4.4,1.7,0,50.45,0,7.55,0,2.29,4.09,4.79,0,0.87,584.67,24.48,22.49,6.1,0,0,595.61,0,0,4.01,0,126.59,0,0,5.78,0,0.65
 48-58,0,0,1.09,0,26.12,0,0,49.78,0.57,9.3,0,23.44,1.16,0.39,0,0,13.38,0.4,3.61,6.04,0,15.19,14.28,0,3.2,822.06,36.8,11.88,13.24,0,0,378.15,0,0,0,0,126.3,0,0.85,0.58,0,0
 60-70,0,0,1.68,0,27.51,0,0,260.36,0,15.69,0,38.8,3.17,0,0,0,11.82,0,10.88,1.18,0,13.41,10.28,0,2.02,1056.88,11.89,15.45,33.84,0,0.66,367.9,0,0,0,0,107.15,0.81,0,0,0,19.79
 72-82,0,0,4.89,0,39.6,1.42,0,364.72,0,0,4.38,53.58,23.12,0,1.56,1.18,14.33,0,19.24,5.39,5.13,47.73,9.65,1.31,0,920.57,3.17,29.19,16.15,0,0,205.77,0,0,0.64,0,83.8,18.63,0,0.96,0,8.46
 84-94,0,0,9.24,0,88.95,0.67,1.48,302.22,0,8.12,1.54,69.8,30.49,3.55,0,1.57,32.34,9.09,18.23,5.09,0,47.72,8.12,0.57,0,678.1,21.36,31.69,42.13,0,0,655.91,0,0,2.49,0,44.42,23.16,0,0,0,1.57
 96-106,0,0,6.77,0,121.51,11.72,1.03,329.06,0,3.52,0,35.71,42.51,0,0,0,29.4,0,35.58,18.07,0,42.87,16.58,0,0,644.02,10.76,32.04,51.23,0,0,604.81,3.39,0,0.73,0,22.22,37.6,0,2.1,0,0.75
108-118,0,0,7.51,0,78.47,8.48,10.69,264.73,0,4.25,0,27.75,43.07,0,0.69,3.5,29.38,1.93,23.84,4.32,0.94,49.09,9.34,1.56,1.17,702.75,15.21,38.05,41.65,0,0,378.83,0,0,0.42,0.56,19.13,29.37,1.16,1.05,0.57,0
120,0,0,25.4,0,185.86,0,1.23,180.96,0,10.32,0,24.14,44.27,0,0,0,21.91,0,20.68,12.9,0,11.89,6.67,0,2.4,979.6,47.46,37.16,48.07,0,0,263.06,0,0,1.04,0,26.79,18.94,0,0,0,0
