stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,0,7.3,3.24,0,0,0,0.88,0,0
 24-34,0,0.62,2.24,0,0,0,0,0,0,0.97,0,0.84,0,4.29,0,0,0,0,0,2.63
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.65,0.75,0,0,0,0,0
 48-58,0,0,2.77,0.73,0,0,1.54,0,0,0,3.29,0,0,0,0,0.6,3.31,0,0,0
 60-70,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0
 84-94,0.62,0,1.04,0,0,1.05,0,0,0,0,0,0,0,1.54,0,1.1,0,0,0,0
 96-106,0,0,0.63,0,0,2.38,0,0,0.78,0,0,0,0.57,2.49,0,0,0,0,0,0
108-118,1.17,0,1.05,0.46,1.27,0.76,0,0.42,0,0,0,0.5,0,0,1.44,0,0,0,0.98,0
120,2.95,0,0,1.18,0,0,0,0,0,0,0,2.46,0,24.3,0,0,0,0,2.35,0
