stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.44,4.45,0,4.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,7.98,65.96,9.57,2.8,0,0,0,1,0,0,0,0,0,0,0,218.06,0,0,297.51,72.87,60.54,1.07,0,0,0,9.1,4.8,17.33,10.69,11.4,0,0,0,0
 24-34,0,0,0,1.27,0,4.89,0,0,2.18,0,1.35,1.3,0,0,0,0,0,34.39,0,0,39.36,48.08,0.94,0.69,0,0,6.9,0,0,15.1,0,11.5,0,2.07,0,0.63
 36-46,0,0,0,3.25,0,5.72,1.52,10.94,4.43,0,0,2.49,0,0.91,0,0.6,0,398.69,0,4.09,221.73,35.4,5.13,1.42,0,0,0,0,0,2.06,0,12.67,3.38,2.08,0,0
 48-58,0,0,0,6.64,0,14.69,0.68,0,21.18,0,0,0,0,0,0,0,0,63.1,0,0,8.47,30.25,0,0.4,0,0,0,0,0,1.57,0,12.46,0,0,0,0
 60-70,0,0,0,6.92,0,29.5,0.73,1.38,5.17,0,0,0,0,0,0,0,0,657.04,0,0,31.84,48.49,0,0,0,0,0.85,0,0,0,0,3.18,19.77,1.1,0,0
 72-82,0,0.5,0,0.56,0,15.67,0,0,6.2,0,0,0,1.18,0,0,0,0,75.77,0,0,0.66,29.56,0,0,0,0,0,0,0,0,0,2.58,0.99,0,0.52,0
 84-94,0,0,0,0.66,0,11.2,0,0,3.81,0,0,0,0,0,0,0,0,55.76,0,0,4.96,28.4,0,0.55,0,0,0,0,0,0,0,14.16,0,0,0,0
 96-106,0,0,0,0,0,22.28,6.17,0.77,5.74,0,0,2.05,0,0,0,0,1.54,87.05,0.68,4.01,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,16.78,0,21.12,0,0,8.33,0,0,0,3.09,0,0.43,0,0,184.24,0,0,9.65,33.94,0,0.61,0,0,0,0,3.09,0,0,5.69,0.77,0,3.1,2.08
120,0,0,0,17.99,1.91,27.46,0,3.94,2.86,0,0,0,0,0,0,1.69,0,16.86,0,0,0,96.03,0,15.99,0,13.23,0,0,0,0,0,0,0,5.29,0,0
