stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.11,239.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.95,0,0,0,0,0,0,0,0
  5-6,17.97,198.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,0,0,8.44,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,14.62,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.49,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.07,0,0,0,11.85,0,0,0,0,4.33,0,0,0,0,0
 14-21,0,0,0.82,1.03,0,0,4.68,0,0,0,0,16.23,0,0,0,0,0,0,0,2.29,0,0,0.95,61.92,0,1.55,0,0,0,0,0,2.96,27.61,0,0,0,0,0
 24-34,0,0,0,0.63,0,0,3.89,0,0,1.33,0,0,0,0,0,0,0,0,1.63,1.47,0,0,1.46,313.57,0,3.83,0,0,0,3.79,0,0,118.02,0,0,5.44,0,0
 36-46,0,0,0,0,0,0,14.05,0,0,7.55,0,0,0.83,0,0,0,0,0,0,6.92,0,9.81,0.63,746.17,1.03,8.53,0.61,0,0,0,0,0,211.09,0,0,0.73,0,1.16
 48-58,0,0,0,2.47,0,0,57.74,0.78,0.54,18.07,0,0,0,0.58,0,0,0,0,1.66,8.01,0,0.87,2.93,1082.67,1.28,0.38,0,0,0,1.26,0.9,0,189.99,0,0,0,0,2.3
 60-70,0,0,0,3.35,0,0,323.66,1.38,2.99,28.43,0.62,0,0,1.8,0,0,0.77,0,0,16.75,0,0,1.01,1595.53,0,5.63,8.38,0,0,0.75,0,0,204.11,0,1.77,0,0,0
 72-82,0,0,0,0.86,2.22,0,661.39,0,3.12,60.66,0,0,4,0.49,1.16,9.88,1.79,0,0,33.65,0.92,1.23,1.85,1641.16,0,2.5,4.18,0,0,3.31,0,0,167.61,1.87,0,6.09,1.45,11.05
 84-94,0,0,0,8.85,7.3,10.69,393.05,0,0.67,29.16,0.9,0,2.41,0,0,0.86,0.64,0.88,2.01,16.52,0,3.37,0.76,1050.01,0,6.72,16.25,0,0,1.78,0,0,86.83,0,0,1.63,0,0
 96-106,0,0,2.44,5.44,16.24,0,515.15,0,7.19,39.86,0.58,0,0.73,0.77,0.77,0,2.5,0,0,29.12,0,0,0,844.19,0,8.86,14.61,0,0,6.94,0,0,52.12,0,4.86,0.68,1.92,3.81
108-118,0,0,1.8,11.47,0,0,468.1,0.59,0,62.61,1.78,0,0.49,1,0,0.42,1.79,0,0.66,40.03,0.43,1,6.47,1291.74,0,3.87,20.36,0,5.33,4.34,0,0,61.39,4.28,0,2.59,3.49,2.81
120,0,0,1.37,18.7,0,0,347.96,0,5.01,68.1,9.78,0,0,6.2,0,0,3.66,0,0,37.88,0,0,1.81,1733.52,4.01,1.54,20.07,0,0,1.17,0,0,8.4,0,0,6.96,0,0
