stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,19.32,56.15,2218.68,4716.56,1206.19,7.99,0,0,0,4.79,848.15,3.27,45.51,0,100.69,0,0,323.9,0,2498.84,30.15,0,1132.86,1398.08,30.56,0,76.33,52.6,0,12.94,120.89,699.75,12.8,1059.57,867.71,0,39.99,0,0
 24-34,0,36.54,641.52,1314.66,69.86,12.92,0.67,12.45,0.8,2.23,409.92,0,9.11,0,30.68,0.7,3.85,451.55,1.71,1493.86,34.35,8.14,349.68,440.08,0.67,0.98,4.2,0,0,15.71,7.41,36.47,2.34,26.75,344.61,0,261.23,0,0
 36-46,0,0,29.54,385.71,5.61,4.59,5.22,6.89,1.63,2.3,108.96,0,2.25,0,4.38,0,1.17,118.21,0.86,419.78,1.65,10.66,47.3,79.91,0,4.06,0,0,0,1.81,0,0.79,0,0,29.75,0,12.18,0,1.16
 48-58,0,0,3.67,142.57,0,10.24,0.61,3.09,2.7,1.96,59.28,0,0,0,0.48,0,0,17.69,0,105.73,0,7.56,11.66,57.26,0.6,0,0,0,0,1,0,0,0,0,13.51,0,0.62,1.08,0
 60-70,0,0,0,35.56,0,0,0,5.78,1.9,0.57,7.33,0,1.47,0.98,0,0,0,10.81,0,21.95,0,0,0,14.82,0,0,0,0,0,0,0,0,0,0,24.91,0,2.55,0,0
 72-82,0,0,0,13.03,0,8.85,0,2.62,4.75,1.07,1.41,0,0,0.54,2.05,0,0,0,0,12.07,0,0,3.06,14.2,0,0,2.95,0,0,0,0,0,0,0,2.86,0,0.85,4.37,7.57
 84-94,0,0,0,8.38,0,2.28,0,1.84,15.42,2.17,0.66,0,0,1.7,0,0,1.91,0,0,21.44,0,0.6,0.57,10.91,0,0,0,0,0,1.27,0,0,0,0,0,0,1.88,6.2,0
 96-106,0,0,0,0.73,0,5.18,0,2.68,7.5,5.21,2.17,0,0,1.28,0.66,0,0,0,0,19.96,0,2.84,1.18,13.63,0,0.89,0,0,0,1.19,0,0,0,0,0,1.27,0,0,0
108-118,0,0,0,5.27,0,1.2,0,2.14,0,0,1.28,0,0,1.4,2.57,0,2.91,0,0.58,8.27,0,0,0,4.12,0,0,0,0,1.02,1.81,0,0,0,0,0,0,1.21,1.9,0
120,0,0,0,3.47,0,0,0,0,31.91,0,0,0,0,1,0,0,0,0,0,2.11,0,0,0,23.68,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0
