stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,273.83,3654.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.4,0,0,0,0,0,0
  5-6,152.45,2363.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.74,17.23,0,0,34.6,64.48,0,0,0,0,0,0
  7-9,7.8,10.59,0,5.32,0,0,8.97,0,0,15.57,0,0,0,0,0,0,0,0,0,0,141.05,5.59,0,0,63.63,3.76,35.28,0,0,0,0,0
 10-12,0,6.24,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,35.61,0,0,0,5.33,0,10.42,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.17,0,0,3.95,0,2.15,1.4,0,0,1,0,0
 24-34,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0.82,0,0,1.66,0,0,0,9.23,0,5.05,0,0,1.46,0,0,0.72,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,12.86,0,0,1,0,0,0,0,0,0,3.35,0,6.73,0,0,1.04,3.22,0,0,0,0,0
 48-58,0,0,0.42,0,0,0,0,1.08,0,0,8.64,0,0,0,0,0,0.44,0,0,0.7,12.42,0,1.4,0,0,2.74,0,0,0,0,0,1.91
 60-70,0,0,0,0,1.37,0,8.09,0.85,0,0,27.36,0,0,1.02,0,0,0.67,0,0,0,2.33,0,2.55,0,0,0.64,0.64,0,0,0,0,0.89
 72-82,0,0,0,0,0.77,0,2.09,3.6,0.65,0,13.84,0,0,0,0,8.68,3.89,0,0,0,4.72,0,3.27,0,0,1.66,1.13,0,0,2.32,0,1.93
 84-94,0,0,0,0,0,0.78,0,0,1.76,0,23.77,0,0,0,0,0,0,0,0,0,5.45,0,6.47,0,0,0,0,0,0,0,0,1.07
 96-106,0,0,0,0,1.95,0,4.47,2.83,3.41,0,43.52,0,0,3.55,0,0.75,3.86,0.83,0.66,0,13.73,0,15.35,1.58,0,40.68,0,0,0,0,0,1.57
108-118,0,0,0,0,7.14,0,0,7.27,4.89,0,53.28,0.42,0.98,3.21,2.08,0,0.47,0.41,1.08,0,9.27,0,8.71,1.03,0,12.66,0,1.06,0,0.48,0,2.31
120,0,0,1.22,0,27.28,0,0,0,19.71,0,120.78,0,1.62,1.77,0,0,11.09,2.5,0,0,12.38,0,31.04,0,0,89.49,0,0,0,0,2.39,5.17
