stage,eye,glial,mesenchyme,neural,otic
 24-34,0.61,0,0,1.82,0
 48-58,0,0,0,2.85,0
 60-70,0.7,0.58,1.28,0,0
 84-94,0,0,0,2.17,1.22
 96-106,0,0,0,6.97,0
108-118,0,0,0,3.13,0
