stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.9,0.84,0,0.85,0,0,1.26,0,0,0,0,1.23,0,20.97,0.92,0,0,2.95,5.73,0,0,0,0
 24-34,0,0.75,0,2,0,0,0,0,0,0,0,1.43,0,35.84,0,0,0,0,8.57,0,0,0,0.77
 36-46,0,0,0,3.41,0,0,1.13,0,0,0,0,2.35,0,31.86,0,0.57,0,0,3.06,0,0.71,0,0
 48-58,0,0,0,1.35,0,1.41,0,0.41,0,0,3.29,4.95,0,26.62,0,0,0,0,11.25,0,0.62,0,0
 60-70,0,0,0,4.5,0,0,0.72,0,0,0,0,2.67,0,14.62,0,0,0,0,0.59,0,0,0,0
 72-82,0,0,0,11.17,0,0,1.11,0,0,0.5,0,10.72,0,10.18,0,0,0,0,4.28,0.85,0.89,0,0
 84-94,0,0,0,25.8,0,1.12,0,0,0,0,0,11.34,1.55,9.92,0,0,0,0,1.33,0,0.74,0,0
 96-106,0,1.43,3.65,2.46,0.63,2.49,2.78,0,1.22,0,0,1.83,0,3.65,0,0,2.14,0,1.92,3.81,0,0.98,0
108-118,0,1.03,0,4.33,0,0,0.94,0,0,0,0,10.67,0,6.63,0,0,0,0,0,0,0.85,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0
