stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,69.42,329.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,70.74,807.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79,0,0,0,20.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.71,12.48,0,94.68,0,0,29.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.79,31.05,0,0,221.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.98,0,125.2,0,7.85,64.89,0,0,0,0,0,11.72,0,0,0,0,0,0,0,0,0,3.87,872.32,74.26,0,0,333.06,0,0,0,0,64.23,0,0,0,0,0,0,0
 14-21,0,0,0,6.23,33.96,22.43,5.04,0,0,0,3.56,7.03,2.24,0,0,0,0,0,0,26.21,0,0,30.74,124.9,55.83,0,0.82,3.88,0,3.65,0.91,53.94,1.85,1.05,32.44,33.59,0,11.92,0,0
 24-34,0,0,0.81,1.01,11.53,3.65,9.74,0,1,0,10.05,1.84,0,5.46,0,0,0,0,0,120.1,0,0,46.84,182.82,17.42,0,7.23,0,0,0,0,0,1.63,0,4.84,40.71,0,97.16,0,10.82
 36-46,0,0,0,0,22.35,0,20.04,4.05,1.3,1.54,12.25,0,0,1.2,0,0,0,0.57,0,148.8,0,1.72,39.03,143.86,23.25,2.63,7.28,0,0,1.68,0,0,1.31,0,0,68.29,0,82.46,0,5.53
 48-58,0,0,0,0,12.06,0,44.91,1.16,4.43,8.94,15.36,2.3,0,3.93,0,0,6.79,1.15,0.46,177.69,0,0.58,22.99,149.68,22.17,0,7.79,0,0.61,3.29,0,0,2.74,0,0,13.55,0,55.13,0,36.53
 60-70,0,0,0.82,0,9.46,4.64,17.75,5.04,12.16,1.48,44.32,4.35,0,12.87,2.46,0,8.94,4.22,2.93,236.41,0,4.33,11.75,84.2,15.7,1.43,6.85,0,0,3.33,0,0,5.08,0,0,18.88,4.09,57.92,0.85,27.24
 72-82,0,0,0,0,9.83,0,21.66,4.55,7.62,5.58,33.22,3.8,0,2.86,0,0,0,0,0,433.51,0,5.7,13.53,93.8,2.13,0.74,9.66,0,0,0.55,0,0,0.57,0,0,0,3.49,106.45,1.78,31.66
 84-94,0,0,0.84,0,10.13,0,36.29,0,4.54,7.23,22.3,3.33,0.76,6.29,0,0,8.91,0,0,322.12,0,3.58,8.14,46.3,5.59,3.34,12.42,0,0,1.49,0,0,2.11,0,0,5.35,1.79,82.07,1.63,13.86
 96-106,0,0,1.6,0,18.12,0,28.36,3.46,4.15,0,31.77,6.87,0,1.97,5.14,0.8,3.41,0,0,245.32,0,0.69,12.76,57.36,3.72,0.63,25.11,0,3.88,1.56,0,0,0.87,0,0,3.31,8.77,104.4,3.92,27.22
108-118,0,0,0,0,20.7,0,29.28,0,6.92,9.92,31.66,5.85,0,0.8,0.42,0,6.14,1.23,0,305.04,2.89,9.43,6.82,77.68,4.85,4.72,45.05,0,5.81,4.99,0,0,0.5,0,0,4.65,4.09,97.39,1.3,27.69
120,0,0,4.34,0,39.75,0,22.51,3.32,1.17,4.18,56.34,4.07,0,2.11,0,6.54,3.65,0,0,358.3,0,22.68,2.94,80.76,3.89,0,20.84,0,0,0,0,0,0,0,0,2.78,7.08,172.54,18.63,13.31
