stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,0,0,0,0,5.61,0,0,0,0,0,0,0
 14-21,0,0,4.69,1.57,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.12,0,2.91,0.91,0,0.91,0,0,74.94,0,0,0,0,0
 24-34,0,0,5.35,4.07,0.78,0,1.91,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0.9,1181.19,0,49.33,2.91,0,4.12,0,0,317.21,0,0,0,0,0
 36-46,0,0,0,1.35,0,0,90.16,0,1.39,0.57,49.87,0,0,4.71,0,0,0,0,0,31.07,0,0,1.21,3142.49,2.62,68.13,15.6,0,16.55,0,0,756.97,0,0,6.59,0,0
 48-58,0,0,0.44,10.47,1.73,0,343.2,2.11,6.07,0.66,168.94,0,0.39,0,0,6.72,0,1.98,5.78,17.56,0,0.55,0,4512.78,0,37.49,0,0.39,7.15,0.65,0,776.3,0,0,0.61,0,0.47
 60-70,0,0,1.51,11.85,0,0,992.69,0,0,0,219.02,6.2,0,0,0,0,0,0,0,49.6,2.49,0.62,1.92,5761.22,0,38.26,3.34,0,8.14,0.93,0,940.5,0,0,3.14,2.34,10.27
 72-82,0,0,5.03,13.56,1.43,0,1095.01,0,0.5,8.52,241.76,8.14,0,1.11,0,5.59,0.65,0.96,0,55.42,0,0,1.8,6460.89,0,68.04,5.92,0,9.02,4.1,3.03,643.44,0,0,12.9,0.69,8.71
 84-94,0,0,6.15,17.27,5.58,0,955.07,0,0.66,0,245.76,3.2,0.7,1.33,0,2.23,0.69,0,0,38.63,0,9.7,3.11,4419.91,0,73.64,17.5,0,10.01,3.29,0,425.93,0,2.79,0,0,0
 96-106,0,0,7.62,20.52,20.39,9.83,1029.65,0,0,2.53,307.32,4.22,0,10.24,0,0.77,2.93,12.1,0,51.31,0,0.62,8.65,4048.97,1.36,107.73,9.94,0,14.53,5.07,0,232.54,0,1.93,8.58,0,4.47
108-118,0,0,4.65,31.91,2.12,2.69,1014.55,1.3,4.91,0.62,359.61,6.68,0.69,1.22,1.01,1.64,0.74,2.09,0,41.18,0,0,1.65,4230.65,1.31,45.63,15.01,0,11.99,6.09,0,260.76,5.25,0,1.76,4.26,4.6
120,2.37,0,18,20.8,12.44,1.89,1160.92,2.29,0,17.19,648.27,18.2,2.77,6.5,0,0,8.61,21.24,0,66.58,0,0,10.2,7373.36,0,106.26,7.43,0,12.8,7.48,0,399.47,2.24,0,9.8,0,0
