stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,8.46,1.8,0,1.77,0,0,0,0,0.82,0,0,0,0,4.28,0,0,2.48,11.28,0,0,0,0,2.11,0.88,0,0,4.52,3.53,0,0,0,0,0
 24-34,5.57,0,0,3.55,0,1.57,0.89,0,0,0.9,2.27,0,0.65,6.92,0,0,3.11,12.4,0.81,0,0,0,0,0,4.79,0,0,4.17,0,0,1.32,0,0.93
 36-46,3.32,0,0,3.44,1.66,0.69,0,0,1.28,1.43,1.54,1,1.07,3.51,0,0.55,1.87,13.6,1.24,0,0,0,0,0,4.68,0,0,0.94,0,0,12.56,0,0
 48-58,26.75,0,0,6.97,0,0,0,4.97,0.83,2.63,0,0,0,5.16,0,0.45,0.39,27.12,4.23,0,0,0,0,0,0,1.48,0,0.71,0,0,0,0,0
 60-70,17.89,0,0,3.44,0,12.82,0.98,7.57,1.14,10.58,1.06,0.7,1.32,31.99,0,1.33,1.87,48.35,0,0,0,0,0,0,2.72,0,0,8.57,0,0,0,0,7.16
 72-82,14.23,0,0,10.39,0,0,3.19,2.32,0.63,5.91,0.83,4.23,1.08,35.14,0,0.88,1.32,34.35,0,0,0,0,0,0,0.52,0,0,0,0,1.15,1.09,0,0
 84-94,26.58,0,0.76,5.73,0,1.37,0,1.45,2.84,30.86,0,0,5.83,28.78,0,0,0,25.61,0,0,0,0,1.41,0,1.76,0,0,6.7,0,0,3.15,0,0
 96-106,14.61,0,0.97,4.74,0,9.06,0,7.71,1.15,22.84,0,2.51,3.28,17.79,0,0,0.77,31.94,0,0.64,0,12.44,12.39,0,3.1,0,0,0,0,0,0,0.89,0
108-118,24.63,0,0.65,11.13,0,2.16,3.05,11.96,1.3,23.99,0.42,17.33,5.15,25.62,0.45,0,5.13,13.99,0,0.8,0,0,4.63,0,1.18,0,0,0,1.02,0,2.82,0,1.5
120,36.19,0,0,7.35,0,3.45,10.08,20.91,5.05,46.44,0,4.82,19.14,45.12,0,0,7.69,72.81,0,0,3.51,0,0,0,9.47,0,0,0,0,1.95,1.25,0,0
