stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,17.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,2.02,0,0,0,0,240.91,0,0,0,0,0
 24-34,0,0,0.9,6.1,0,5.27,0,1.65,0,1,1.89,0,0,0,2.62,0,4.4,9.04,0,5.42,17.75,1.88,72.31,0,1.47,0,0,3067.08,1.5,12.65,0,4.67,0
 36-46,0,0,0,16.12,0,7.8,0.56,8.2,3.07,5.79,0.65,0,1.32,1.03,3.18,0,6.27,0,6.19,1.71,18.58,1.47,70.9,14.99,0,0,0,4312.84,4.7,10.6,0,0,0
 48-58,0,0,0,20.45,1.59,49.1,0.81,25.01,0,11.99,1.26,1.19,0.59,1.34,4.83,0,0.42,0,20.78,17.69,24.49,1.64,142.02,0,1.07,7.88,0.39,3718.46,0.6,15.34,0,0,0.92
 60-70,0,0,0,9.4,0.78,52.8,0,14.42,0,3.77,0,0,0.79,0,9.79,0,0.86,0,0,5.2,30.66,0,99.9,0,0,0.9,0,2878.06,3.9,13.68,0.84,0,0
 72-82,0,0,0,7.54,3.36,14.14,0,7.71,0,2.24,9.38,0,0,0,1.19,0,0,4.33,0,3.93,12.92,2.2,34.86,0,0,0,0,1310.91,0,7.98,1.16,0,20.04
 84-94,0,0,0.66,8.83,6.51,18.84,0,27.44,0,0,3.18,3.67,0,0,25.67,0.55,0,0,0,2.48,53.83,0,50.27,0,0,0,0,3228.9,9.93,0,0,0,0
 96-106,0,0,0,4.48,8.11,8.51,0,2.51,0,2.97,4.82,0,0,0,7.37,0,1.05,0,0,6.62,20.28,0,23.26,0,0,0,0,1209.4,0.7,2.94,0,0,0
108-118,0,0,0,0.67,2.29,4.73,0,6.1,1.19,4.39,0.51,0,0,0,1.49,0,0.43,0,0,8.99,21.69,0.76,10.41,0,0,0,0,769.14,3.75,0,0,0,0
120,0,0,0,0,0,0,0,1.26,3.94,0,1.71,0,0,0,0,0,0,0,0,1.59,0,0,3.89,0,0,0,0,401.31,1.13,0,0,0,0
