stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0,0,0,0,0,0,0,0
  5-6,52.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,7.22,0,0,6.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.82,0,0,0,0,0,0,0.88,0,0,3.05,0,0,0,0,5.99,0,0,6.66,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,19.37,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0
 36-46,0,0,0,2.73,0,1.71,0,0,0,0,0,0,0,0,0,42.17,0,0,0,7.78,0,0,5.42,0,0,0,0,0,0,0
 48-58,0,0,0,0.45,0,0.4,0,0,0.58,0,0.64,0,2.13,0,0.47,61.29,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0
 60-70,0,0,0,1.15,0,38.12,0,0,0,10.59,0,0,1.21,0,0,49.45,0,0,0,0,0,0,0,0,1.76,2.43,0,0,0,0
 72-82,0,0.69,0,0,0,74.26,0,0,3.8,35.4,0,0,2.37,0.64,0.57,78.26,0,7.86,0,2.38,0,0,0,0,7.62,22.83,0,0,0.96,0
 84-94,0,0.7,0,5.26,1.7,41.67,2.61,0,0,70.05,0,0,0,0.58,0,112.17,3.87,0,0,0,0,0,0,0,4.05,75.59,2.89,3.55,2.6,0
 96-106,0,0,0,6.23,0,67.85,0,3.14,2.51,68.08,0.97,14.91,4.59,1.57,0.8,51.46,2.49,3.84,0,11.89,0,0,0,0,1.25,114.37,0,0,10.42,0
108-118,0,5.01,0.74,6.6,4.38,17.09,0,0,1.78,66.35,0,0,10.03,0.94,0,138.17,10.91,2.11,0,6.22,0,4.19,0,0,0,95.07,0,0,4.48,1.16
120,0,0,0,6.99,0,7.94,0,0,3.18,62.71,0,0,11.66,0,0,98.35,14.54,0,0,2.44,0,0,0,0,0,77.01,0,0,6.1,8.94
