stage,epidermis,eye,glial,gut,immune,mesenchyme,neural,notochord,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,3.28,4.99,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.34,1.08,0
 72-82,0,0,0,0,0,0.56,3.81,0,0,0,0,0.52
 84-94,0,0.57,0,0,0.74,3.53,0.57,0,0,0,0,0
 96-106,2.11,0,0,1.19,0,0,0,0,1.14,0,0,1.42
108-118,0,0,0.89,0,0,0,0,0,1.38,0,0.43,0.57
