stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,1.14,0.81,1.6,0,0,0
 24-34,0,0,2.25,0,0,0,0,0,0.68,0,0,0,0,9.56,0,0,0,0,0,0,1.52,0,0,0
 36-46,0,0,4.2,0,0,1.7,0,0,0,0,0,0,0,14.98,0.64,0,0,0,0,0,0,0,0,0
 48-58,4.09,0,16.62,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0,0,0,0,1.08,0,0,0
 60-70,0,0,277.08,0,0,0,5.54,0,0,0,0,0,0,9.93,0,0,0,2.81,0,0,0.96,0,0,0
 72-82,1.68,0,456.86,0,0,1.35,0,0,0,0,2.2,0,0,31.73,0,1.11,0,2.3,0,0,0.66,0,0,1.11
 84-94,0,5,560.19,0,0,0.73,0,0,0,0,1.78,0,2.36,19.22,0,0,0,2.13,0,0,0,0,0,0
 96-106,0,2.02,437.28,9.9,4.64,3.54,0,0.73,0,0,0.96,1.7,0,39.27,0,0,0,0.6,0,0,0,2.04,0,0
108-118,3.99,0,358.42,0.55,0,10.11,0,0,0,0.49,3.15,0,0,26.5,0,0,0,0,0,0,0,0,2.42,0
120,1.21,3.49,645.46,0,0,3.75,0,0,8.05,0,0,0,0,16.16,0,0,3.1,1.59,0,0,0,0,0,0
