stage,axial,blastomeres,erythrocytes,eye,iridophores,mesenchyme,neural,periderm,spinal_cord
  3-4,15.67,20.51,0,0,0,0,0,0,0
  5-6,0,15.5,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.73,0,1.95
 48-58,0,0,0,1.83,0,0,2.94,0.83,0.77
 60-70,0,0,0,1.35,0,0,3.4,0,0
 72-82,0,0,0,0,0,0,2.91,0,0
 96-106,0,0,0,0.85,0,0,0,0,0
108-118,0,0,0,0,1.3,0,0,0,0
120,0,0,3.18,0,0,1.43,0,0,0
