stage,eye,glial,immune,neural,spinal.cord,vasculature
 24-34,0,0,0,4.52,1.59,0
 36-46,0,0,1.52,0,0,0
 48-58,0,0,0,2.77,0.54,0
 60-70,4.74,0,0,0.88,0,0
 72-82,4.18,2.17,6.38,6.2,0,0
 84-94,5.84,0,1.65,1.6,0,0.87
 96-106,18.38,0,1.65,8.68,4.94,0.7
108-118,0.49,0.71,5,8.64,0,0
120,3.69,0,1.31,0,0,0
