stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.6,117.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,96.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.18,10.27,0,18.78,0,0,0,37.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.27,6.31,0,0,28.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.39,0,18.06,0,0,0,36.96,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,407.5,10.57,0,0,49.09,0,8.5,0,15.22,0,0,0,0,0,0,0
 14-21,0,0,2.39,0,15.91,7.11,0,6.69,0,0,216.5,0,1.35,1.01,0,0,0,0,0,18.69,0,4.32,192.19,0.95,9.14,28.52,6.64,0,0,14.39,154.25,1.7,671.31,0,0,0,0,0
 24-34,0,0,2.16,0,2.64,0,0,10.4,0,1.6,241.42,0.85,0,0,0,0,0,0,0,14.13,0,0.61,319,4.49,80.62,9.42,0,0,0,0,66.95,5.32,482.92,0,0,0,0,0
 36-46,0,0,0,0,0.8,0,0,8.55,0,0,148.54,0.73,0,0,0,0,0.74,0,0,2.92,0,4.7,366.16,0,87.62,12.85,0,1.92,0,0,40.86,0,345.42,0,0,0,0,0
 48-58,0,0,0,0,8.29,3.01,0,40.16,1.02,1.38,113.75,0,0,0,0,0,0,5.28,0,7.23,0,1.46,199.86,0,102.09,5.58,0,0.38,0,0,9.56,0,257.51,0,0,1.27,0,0
 60-70,0,0,0,0,0,0,0,21.26,0,1.75,119.75,2.85,0,0,0,0,0,11.62,0,7.11,1.53,0,177.22,0,76.4,13.83,0,0,0,0,4.56,0,100.08,0,0,0,0,8.49
 72-82,0,0,8.94,0,0,0,0,14.46,0,0,111.21,3.88,0,0,0,0,0.78,16.58,0,8.2,0,0,118.48,0,116.58,27.52,0,0,0,0,6.55,0,52.83,1.16,0,0,1.87,4.49
 84-94,0,0,6.03,1.03,4.48,0,0,31.1,0,0,83.15,1.52,0,0,0,0,0,18.6,0,8.03,0,3.47,140.41,0,121.32,37.31,0,0,1.4,0,11.06,0,72.13,0,0,0,0.61,0
 96-106,0,0,4.3,6.17,4.53,0,0,29.3,0,0.81,70.13,3.75,0,0,7.85,0.94,0,42.66,0,6.78,0,0,112.22,0,141.56,47.87,0,1.14,0,0,7.27,0,60.61,0,0,0,0,0
108-118,0,0,2.21,5.33,3.62,0.59,1.54,18.35,0,0,110.68,1.92,0,0,0,0,6.67,20.14,0,4.3,0,0.75,196.41,0,116.8,49.74,0,0,0,0,8.4,0,38.5,0,0,0,0.5,0
120,0,0,0,0,13.61,0,0,58.73,0,0,174.45,10.16,0,0,6.07,0,0,39.62,0,29.17,0,0,230.01,0,128.48,54.86,0,1.21,0,0,40.08,0,42.97,0,1.46,8.82,0,0
