stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,10.53,274.3,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0
  5-6,7.05,161.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.59,0,0,10.07,0,0,0,0,0,20.42,17.39,0,0,0,0,0
 10-12,0,0,4.47,0,0,0,0,0,0,0,53.63,0,0,0,6.08,0,0
 14-21,0,0,0,4.12,1.85,0,0,1.94,2.23,0,14.52,0,0,6.52,0.87,2.55,1.01
 24-34,0,0,0,0.66,4.08,0,0.61,1.35,1.33,0,28.3,0,0,0,0,0,2.84
 36-46,0,0,0,0,0.59,0,0,0,2.03,0,14.57,0,6.76,0,0,0,7.25
 48-58,0,0,0,0,2.65,0,0,1.26,2.27,0.49,16.82,0,0,0,0,0,2.03
 60-70,0,0,0,0,0.96,0,0,0.69,1.51,0,4.67,0,0,0,0,0,1.04
 72-82,0,0,0,0.51,1.16,0,0,1.79,0.59,0.75,3.87,0,0.53,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.21,0,0.66,0,2.41,0,0,0,0
 96-106,0,0,0,0,0,0.89,0,1.23,0,0.61,1.72,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.24,0,0,0,0.91,0,0,0,0
120,0,0,0,1.69,0,0,0,0,16.47,0,3.58,0,0,0,0,0,16.47
