stage,blastomeres,glial,neural,olfactory,spinal.cord,taste
  5-6,18.51,0,0,0,0,0
  7-9,0,0,20.37,0,0,0
 72-82,0,0,0,32.2,0,0
 96-106,0,0.68,0,7.4,0,0
108-118,0,0,0,7.55,0,3.87
120,0,0,0,16.37,8.47,0
