stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,20.24,0,0,0,33.09,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,32.06,83.21,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,991.33,0,0,2091.74,141.6,0,0,0,0.89,0,0,49.24,0,256.59,9.95,0,0,0.91,0,0
 24-34,0,25.62,13.74,0,32.92,0,0.92,14.55,0.68,0,2.23,9.32,0,1.23,1.7,0,2.61,0,4851.39,1.03,0,2245.35,430.84,18.81,0,5.57,0,0,4.85,3.73,1.72,38.86,20.18,0,0,10.12,0,9.85
 36-46,0,7.98,0,0,23.81,1.21,4.2,34.87,8.48,0,0,15.65,0,0,14.44,0,0,0,6009.57,0,0.89,1546.17,481.88,0,1.1,2.74,0,5.08,11.1,0,0,1.34,33.45,0,7.44,6.24,2.33,0
 48-58,0,15.74,0,0,113.61,0,18.48,28.44,8.08,0,0,6.33,0.7,0,5.36,0,6,2.12,5359.02,1.84,2.53,1054.43,629.98,1.09,0,10.42,0,1.21,16.82,0,0,2.82,35.79,0,4.25,6.34,0.48,4.8
 60-70,0,1.06,0,0,65.19,2.3,6.5,50.11,11.81,6.9,0,2.11,0,0,0,0,2.4,0,5420.93,0,7.14,550.64,329.21,0,0,7.5,0,17.39,0,0,0,0,4.9,0,8.29,2.6,3.19,3.49
 72-82,0,4.25,0,0,115.26,3.02,0,34.42,13.16,0,0,0,0,0.66,0,1.37,1.4,0,4598.85,0,14.44,451.38,205.38,0.63,0.93,4.94,0,9.5,0,0,2.57,0,0,0.78,10.17,0,13.26,0
 84-94,0,6.48,0.82,0,159.22,1.92,1.7,20.65,11.48,0.96,0,1.94,0.76,1.56,0,0,0.67,0,3543.66,0,21.52,423.98,65.56,1.23,0,16.98,0,19.23,0,0,0,0,1.94,0,13.9,0.97,10.98,0
 96-106,0,13.05,2.57,3.86,97.57,1.36,1.86,18.79,8.77,2.62,0,1.52,2.29,0,0,0,13.17,0,2562.54,2.1,8.33,231.74,101.23,0,4.8,3.45,0,11.95,0.71,0,0.74,0,0,1.68,13.73,0,17.17,6.62
108-118,0,4.41,1.36,0,78.27,1.24,0,15.15,8.19,0,0,0.74,0.83,0,0,0,0,0,2440.75,2.29,5.39,201.96,96.04,0,0,14.62,0,19.83,1.44,0,0,0,5.47,0,9.21,7.53,6.6,0
120,0,3.23,4.98,0,62.03,1.06,0,0,0,2.35,0,2.11,0,0,0,0,8,0,2317.99,1.56,12.66,129.75,91.37,0,0,6.66,0,14.47,0,0,0,0,0,0,0,0,24.46,0
