stage,blastomeres,epidermis,eye,glial,neural,olfactory,spinal.cord,vascular.smooth.muscle
  3-4,10.77,0,0,0,0,0,0,0
  5-6,28.26,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,90.41,0,0,0
 10-12,0,0,5.87,0,43.52,0,0,0
 14-21,0,1.01,0,1.09,0.97,0,0.82,0
 24-34,0,0,0,0,0,0,5.43,0
 36-46,0,0,0,0,0.82,0,0,0
 48-58,0,0.52,4.52,0,4.07,0,5.19,0
 60-70,0,0,0,0,7.23,0,5.03,0
 72-82,0,0,1.21,0,18.28,0,3.52,0
 84-94,0,0,1.35,0,15.69,0.93,4.42,0
 96-106,0,0,4.71,0,12.62,0,3.2,1.21
108-118,0,0,0,0,6.48,0,0,0
120,0,0,9.22,0,25.27,0,0,0
