stage,endoderm,eye,glial,lateral.line,mesenchyme,neural,olfactory,otic,pronephros,spinal.cord,taste
 14-21,0,0,2.68,0,0,0,0,0,0.84,1.56,0
 24-34,0,0,0,0,0,0,0,0,3.29,1.33,0
 36-46,0,0,0.65,0,0,0,4.06,0,1.77,2.57,0
 48-58,0,0.4,3.29,0.4,0,0.52,0.44,0,6.15,1.34,0
 60-70,0,1.21,0.58,0.85,0,1.67,1.43,0,9.34,4.06,0
 72-82,0,2.48,5.05,0.74,0,4,6.38,1.11,0,1.65,0
 84-94,0,0,0,2.91,0,0,5.22,2.54,4.08,0.69,0
 96-106,0.64,0,1.1,15.4,0,0,2.19,5.03,0,0.91,1.01
108-118,0,0,1.37,3.44,0.6,1.67,4.98,4.04,2.94,2.39,0
120,0,11.09,0,8.24,0,11.64,5.12,9.55,4.05,0,0
