stage,epidermis,eye,glial,immune,ionocyte,mesenchyme,neural,spinal.cord
  7-9,0,0,0,0,0,0,4.93,0
 24-34,0,0,0,0,0.62,0,0,2.26
 36-46,0,0,0,0,0,0,1.52,0
 72-82,0,0,0,0,0,1.72,0,0
 84-94,1.02,0.84,0,0,0,0,0,0
 96-106,0,0.68,0.6,0,0,0,0,0
108-118,0,0,2.54,1.15,0,0,0,0
120,0,0,0,3.4,0,0,0,0
