stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0
  7-9,0,5.43,0,0,0,0,0,4.67,0,0,0,0,0,0,3.4,4.44,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.64,0,0,9.75,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0.87,0,0,0,0.94,0,0,0
 24-34,0,0,0,0,1,0,0,0,0,0,0,0,0.89,0,1.23,0,0,0,0,0,0,4.03,0,0,0
 36-46,0,0,0,0,4.58,0,0,0,0,0,0,3.25,0,0,40.17,0,0,0,0,0,0,0.71,0,0,0
 48-58,0,0,0,0,3.16,0,3.52,0,0,4.44,0,0,0,1.03,14.43,0,0,0,0,0,1.01,0,0.88,0,0
 60-70,0,0,7.88,0,25.13,0,0,0,0,0,7.18,1.26,0,0,127.38,0,0,0,1.53,0,0,0,0,0,0
 72-82,0,0,2.56,0,20.7,0,3.67,0,1.16,0,3.53,6.11,0,0,91.71,0,0,0,0,0,0,0,0.66,1.32,0
 84-94,0,0,0,0,46.9,0,1.7,0,0,0,2.86,0,0,0,54.43,0,0,0,0,0,0.57,0,0,0,0
 96-106,0,0,0,1.91,27.55,1.45,0,0,0,0,0,0,0,0,28.99,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,58.27,0,3.94,0,0,0,4.63,1.76,3.27,0,68.8,0,7.39,0,0,0,3.63,0,1.53,0,0
120,0,0,3,16.85,173.89,0,1.79,0,0,0,0,5.3,0,0,599.6,0,4.87,0,0,5.22,0,0,5.07,0,3.28
