stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,113.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,13.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,7.34,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,11.01,5.34,14.74,0,0,0,3.95,0,2.04,0,0,0,0,0,0.92,16.6,4.65,0,0,1.57,51.45,6.63,0,1.09,3.52,0,1.03,3.76,0.86,0,1.23,18.93,0,0,10.81,0,4.29
 24-34,0,0,0.82,5.37,7.08,26.68,0,1.81,2.64,2.85,0.69,0,0.67,0.9,1.81,0.77,0,0,16.18,26.62,0,0,7.97,130.6,0,3.1,0,0,0,3.44,0,0.6,0,2.14,23.63,0,0,50.3,0,4.46
 36-46,0,0,0,4.12,8.68,27.25,0.84,4.11,7.68,15.51,0,0,0,2.08,1.35,2.93,0.61,0,9.76,11.15,3.88,0,8.74,91.42,6.58,1.45,0,0,0,7.99,0,0,0,0,12.68,0,0,27.99,0,15.14
 48-58,0,0,0,1.43,3.83,46.2,0,0.83,11.27,23.52,0,0.49,1.89,2.16,0.46,13,0,0,7.75,39.5,0.57,0.99,11.61,101.31,6.68,0.43,0.95,0,0,11.46,0,0,0,0,10.16,0,0,29.61,0,43.02
 60-70,0,0,0,4.7,1.24,104.74,0,0,6.57,75.08,0,0,0,5.99,0.58,15.77,0,1.34,1.24,63.7,1.01,0,3.81,79.32,1.06,0,2.68,0,0,4.34,0,0,0,0,4.29,0,0,3.8,0,0.99
 72-82,0,0,0,4.33,0,88.59,0,0.93,14.2,64.48,3.25,0,2.65,3.96,2.29,8.85,0,0,2.08,80.49,0,0,5.84,155.41,0,5.39,1.15,0,1.1,1.14,0,1.62,0,0,2.27,0,1.15,21.79,0.92,7.73
 84-94,0,0,0,2.08,7.92,98.09,0,1.52,2.87,43.71,3.54,0,0,12.62,0.57,14.99,0,0,1.82,73.57,1.98,3.08,3.8,86.76,0,1.74,0,0,0,6.91,0,0.56,0,0,6.68,0,2.41,39.5,2.09,3.63
 96-106,0,0,0,5.84,12.78,45.6,0,1,3.21,72.85,5.01,1.06,0,16.11,1.78,5.24,0.63,0,0.68,108.37,0,0,4.22,57.21,1.06,1.63,0.73,0,0,9.88,0,0.87,0,0,1.89,0.67,3.4,22.66,1.03,3.65
108-118,0,0,0,0.45,3.99,56.44,0,0,8.85,65.75,3.74,0,0.74,7.74,3.12,27.99,0,0.52,8.98,109.11,0,0,3.52,102.54,3.32,6.79,9.62,0,6.68,7.78,0,0,1.39,0,7.43,0,0,30.99,0,8.81
120,0,0,0,14.28,1.69,27.6,0,7.01,0,42.04,20.27,0,0,23.06,0,6.67,0,0,9.63,111.48,0,0,13.49,119.63,6.3,2.97,1.98,0,2.67,2.05,0,2.28,0,0,0,0,0,9.15,0,0
