stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,periderm,slow.muscle,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,8.59,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.28,0,0,2.14,0
 48-58,0,0,0,2.59,0,0,4.22,0,0,0,0,0.51,0,0,95.57,0.4,0,0.72,0
 60-70,0,0,0,5.89,0,0,0,0,0,0,0,1.09,0,0,167.83,0,0,1.65,0
 72-82,0,0.55,4.79,21.55,0,0,4.77,0.84,4.41,0,0,6.88,1.19,0.77,512.07,4.02,0,6.92,0
 84-94,0,0,1.24,33.9,0,0,1.76,0,0,0,0,4.23,1.29,0,400.84,0,0,2.42,0
 96-106,1.43,7.85,1.27,70.17,1.32,0,5.37,0,0,0,0,11.14,2.88,0,409.49,5.14,0,2.43,0
108-118,0,4.28,0,64.32,0,2.11,10.02,0,0,1.07,0.48,13.19,0,2.02,678.77,2.42,0,0,1.05
120,0,0,4.59,122.11,0,0,24.12,0,8.45,0,0,22.1,0,0,1552.45,1.02,0,0,0
