stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,45.46,0,0,0,0,0,0,0,0,0,18.15,0,0
  5-6,72.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6,0,0,0,0,0,0,33.63,4.27,28.09,0,0,0
 10-12,9.71,0,12.76,0,0,0,0,87.55,0,20.6,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,1.13,0
 24-34,0,0,0,0,0,0,0,2.87,0,0,0,0,0.93
 36-46,0,0,0.72,0,0,0,0,0,0,0,0,0,1.57
 48-58,0,0,1.53,0,0,0,0,8.1,0,0,0,0,2.4
 60-70,0,0,3.82,0,2.74,0,0,44.88,0,0,0,0,8.93
 72-82,0,0,2.03,0,0,0,0.67,0,0,0,0,0,0
 84-94,0,0,0.93,0,0,0,0.91,11.85,0,0,0,0,0
 96-106,0,0.99,1.64,0,0,0.57,2.67,15.3,0,0,0,0,0
108-118,0,0,11.65,0.96,0,0,0,14.96,0,0,0,0,0
120,0,0,0,0,0,0,0,8.41,0,0,0,0,0
