stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,135.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.06,0,0,0,0,0,0,0
  7-9,4.37,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,25.48,0,0,4.76,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,14.18,0,0,0,0,0,0,0,0,0,21.92,0,0,4.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.42,2.11,0,2.88,0,0,0,0,0,0,0,1.12,5.36,19.79,0,0.99,0,0,4.53,0,1.71,4.13,0,0,0
 24-34,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,1.15,0.66,4.84,0,0,0,0,0,0,0,2.09,0,1.71,0
 36-46,0,0,0,0,0.65,0,0,0,0,0,0.76,0,0,0,0.88,4.27,1.5,17.38,0,0,0,1.07,0,2.02,0,7.69,0,1.61,0
 48-58,0,0,0,0,0,0,0,0.42,7.59,0,0,0,0,0,0,3.24,0,9.23,0,0,0,0,0,2.28,0,0,0,8.41,0
 60-70,0,0,0,0,0.6,0,0,14.89,0,0,2.7,0,1.11,0,0,2.95,0,6.98,0,0,0,0,0,0,0,1.36,0,18.41,0
 72-82,0,0,1.09,0,5.54,3.26,0,29.07,0,0,0,1.97,4.45,0,0,0.49,0.52,4.89,3.1,0,0,0,0,0,0,0,0.94,2.91,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,10.81,0.61,0,0.62,0,2.08,0,0,0,0,0,0,0,0,0,5.31,0
 96-106,0,0,0,0,0,6.23,0,1.27,0,0,0,0.67,27.14,1.15,0,1.61,0,1.39,0,0,0,3.53,0,0,0,0,0,7.95,5.94
108-118,0,0,0,0.61,0,8.61,0,0,0,3.33,0,2.04,33.27,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,11.06,0
120,0,0,0,0,0,0,1.46,5.74,0,0,0,0,76.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0
