stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,28.68,743.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.37,0,0,0,0,0
  5-6,0,396.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,7.22,0,0,0,0,0
  7-9,6.57,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,46.68,0,0,0,28.93,0,0,0,0,0,0,0
 10-12,0,0,0,11.69,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,17.39,0,0,5.84,0,0,0,0
 14-21,0,0,0,0,0,0.98,0,0,0,1.33,0,0,0,0,0,3.59,15.33,0.86,0,0,0,0,0,0,0,2.85,0,0
 24-34,0,0,0.67,0,3.35,9.99,0,0,0,1.35,0,0.93,0,14.8,0,2.1,82.39,0,0,0,0,0,1.7,0,1.02,10.62,0,0
 36-46,0,0,0,0,0,3.09,0,0,0,2.89,0,0,0,4.29,0,0.7,38.96,0,1.15,0,0,0,0,0,0,4.3,2.21,0
 48-58,0,0,0,0,0,9.25,1.48,3.4,0,7.56,1.54,0,0.89,3.73,0.4,0.43,27.97,0,0,5.78,0,0,6,0,0,3.2,2.11,0
 60-70,0,0,0,0,2.07,12.73,0,0,0,8.52,0,0,0,4.5,2.07,0,45.83,1.09,0,4.39,0,0,0,0,0,1.88,1.22,0
 72-82,0,0,0,0,0,2.14,0,0,0,0.93,0,0,0,2.74,0,1.07,11.69,0,0,0,0,1.12,0.51,0,0,0.75,1.4,0
 84-94,0,0,0,0,0,0,0,0,0,4.49,0,0,0,1.79,0,0,2.84,0,0,0,0,0,0.89,0,0,4.39,0,0
 96-106,0,0,0,0,0,6.45,0,0,0,6.25,0.66,0,0,5.22,0,0.62,4.68,0,0,0,0,0,3.16,0,0,2.6,0,0.64
108-118,0,0,0,0,0,0,0,3.39,0.6,5.28,0,0,0,2.31,0,1.29,5.16,0.67,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,3.23,48.4,0,0,0,0,0,3.43,0,0,0,0,0
