stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature,xanthophores
  5-6,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,17.88,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,211.46,0,0,7.58,0,0,0,0,3.7,0,0,0
 24-34,0,1.6,0,2.88,0,0,915.11,0,0,86.75,0.83,22.9,2.77,0.64,2.37,0.99,0,0
 36-46,0,12.19,0,0.75,4.6,0,407.22,0,1.04,50.14,0,17.28,0,0,0,6.03,0,5.08
 48-58,0,3.66,0,0,0,0,68.36,21.46,0.5,22.49,0,1.98,0,0,0,1.25,0,0
 60-70,0,13.11,0,2.18,1.14,0,92.51,0,0,11.47,0,1.47,0,0,0,0,0,0
 72-82,0,0,0.62,4.82,0.87,0,68.35,2.73,1.17,15.12,0,4.96,0,0,0,2.64,0,0
 84-94,0,13.51,0,2.12,0,3.73,32.19,0.57,0,16.28,0,3.09,0,0,0,3.03,0,0
 96-106,0,22.89,2.12,0,0,0,24.91,5.58,0,31.14,0,2.62,0,0,1.47,1.35,5.06,0
108-118,0,19.15,0,0,1.54,0.88,54.44,0,0,13.54,0,3.15,0,0,0,0,0.58,0
120,0,6.42,0,0,0,0,51.71,0,0,0,0,0,0,0,0,0,0,0
