stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.11,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,19.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.83,0,0,0,0,0,0.83,0,0,7.66,0,0,0,0,89.62,6.43,0,0,0,0
 24-34,0,0,0,0,1.05,0,0.9,0,0,0,0,0,0,0,134.38,3.58,0.63,0,1.23,0,31.26,0,0,26.06,0,0,0,3.16,351.09,1.89,0,3.55,0,0
 36-46,0,0,0,0,8.72,0,3.44,0,0,0,0,0,0,0,105.82,0,0,0,0,1.71,98.81,0,0,19.03,0,1.2,0,1.25,170.41,0,0,0,0,0
 48-58,0,0,0,0,5.62,0.86,8.39,0,0,0,0.8,0.81,0,0,79.3,0,0,0,0,0.65,92.72,0,0,29.58,0,0,0,0.65,131.32,0.68,0,0,0,0.92
 60-70,0,0,0.62,0,28.25,0,12.03,0,13.96,0,0.68,0,0,0,249.56,0,0,0,3.44,3.35,76.17,0,0,19.03,0,0,0,7.42,100.75,1.39,0,1.46,0,0
 72-82,0,0,57.73,2.51,2.81,0,8.46,0,8.59,6.88,4.03,61.6,0,0,404.41,0,0,0.77,0,6.2,158.53,0,1.67,12.46,0,0.97,0,0.79,100.78,4.84,0,0.72,0,0
 84-94,0,0,25.57,23.64,38.74,4.24,12.53,0,0,0,3.13,109.99,0,1.47,488.57,0,1.57,0.56,0,6.02,163.96,0,0,8.6,0,0,0,3.34,265.34,0.94,0,0,0,0
 96-106,0,0,25.23,100.05,87.91,28.8,16.39,1.45,0.67,2.49,3.04,232.41,0,0.79,789.18,0,1.55,0.83,0,9.03,222.82,4,2.65,69.62,0,0,1.02,19.31,239.86,3.63,0,2.01,1.38,1.61
108-118,0,0,36.41,142.42,106.64,6.05,18.06,0,0,3.72,3.69,171.34,0,15.62,619.84,0,4.1,9.69,0,1.19,124.97,0,0.56,27.84,0.55,0,1.42,3.27,192.68,0,0.66,0,0,0
120,0,0,15.7,64.29,86.68,2.15,13.66,0,1.11,0,8.94,182.73,0,46.54,662.47,0,2.87,28.41,0,4.27,75.91,0,0,33.34,0,0,0,4.91,146.57,0,0,1.7,0,0
