stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.03,635.59,0,8.02,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,26.29,18.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,48.03,24.08,0,36.51,0,0,0,86.25,0,0,0,0,0,30.49,0,0,0,0,0,0,0,0,0,0,713.54,12.5,0,0,241.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.44,0,15.66,0,4.74,0,58.97,0,0,0,0,0,15.02,0,0,0,0,0,0,0,0,0,0,557.5,21.15,0,0,168.07,0,0,0,39.86,0,0,0,0,0,0,0
 14-21,0,0,0,2.84,8.13,0,0,3.16,0,0,0,3.6,0,0,0,0,0,0,0,0,8.88,12.01,0,2.53,66.96,5.5,0,0.92,0.82,0,0.96,6.24,0,2.34,11.11,20.17,0,0,0,0
 24-34,0,0,0,0.79,3.2,0,0,22.24,0,0,0,2.16,0,0,0,6.17,0.64,0,0.65,0,1.47,10.67,0,3.32,180.59,1.67,0,0.85,0,0,1.12,0,2.98,3.47,2.85,31.09,0,3.05,0,0
 36-46,0,0,0,0,3.85,0,0,31.05,0,1.15,0,14.12,0,0,0,0,0,0.65,0,0,0,8.77,0,3.04,168.15,0,2.86,0.58,0,0,5.17,0,0,0,0,18.66,0,0.57,0,1.06
 48-58,0,0,0,0,0,0,0,55.96,0.97,0,0,15.51,0,0,0.58,0.56,0,0,0,0,0,12.51,0,1.1,153.23,0,2.17,0,0,0,0.94,0,0,0.46,0,22.06,0,0.5,0,0
 60-70,0,0,0,0,0.57,0,0,104.57,0,0,0,20.81,0,0,0,1.92,0,0,0,0.87,0,20.5,1.05,2.76,130.69,0,0,0,0,0,0,0,0,0,0,20.21,1,6.71,0,0
 72-82,0,0,0,0,1.47,0,0,67.1,0,0,0,16.89,0.73,0,0,0.64,0,0,0,0,0,20.77,5.4,0,99.28,0,1.11,2.46,0,0,3.07,0,0,0,0,25.03,0,2.27,0,0
 84-94,0,0,0,0,0,0,0.76,29.63,0,0,0,24.49,0,0,1.31,0.58,0,0.55,0,0,0,16.12,0.55,0,103.33,0.72,0,0,0,0,3.51,0,2.39,0,0,7.29,1.08,0,1.02,0
 96-106,0,0,3.45,0,0.58,2.84,0,45.79,0,0,0,18.47,0.69,0,0.61,0.65,1.14,0.95,0,0,0,21.47,0,7.35,44.53,0,0,0,0,0,0.63,0,0,0,0,0,0,0.7,2.11,0
108-118,0,0,0,0,7.05,0,0,37.48,0,1.36,0.81,11.45,0,0,0,0.65,0,0,1.49,0,0,27.51,0,3.21,97.29,0,0,0,0,1.33,0,0,0,0,0,0.47,1.64,1.05,2.27,0
120,0,0,0,0,0,0,0,44.05,0,0,0,21.14,12.37,0,0,0,1.45,0,0,0,0,27.94,0,5.92,105.58,0,0,7.56,0,0,0,0,0,0,0,7.79,0,3.87,0,0
