stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,1.83,0,0,0.89,161.57,0.95,0,0,0
 24-34,0,2.25,4.97,0.68,0,0,0,0,0,0,0,7.62,0,0,0,1.14,2.1,0,1.78,0,0.63,22.63,0,0,46.28,0,0,0,415.42,1.29,0,1.35,0
 36-46,0,0,0.56,0,0,0,0,0,0,0,0,5.82,0,0,0,0,56.49,0,0,0,0,49.54,0,0,17.38,0,1.19,0,389.62,0.83,0,0,0
 48-58,0,0,0,1.95,0,0,1.45,0,0,0,3.28,22.75,0,0,0,7.04,18.72,0,1.48,0,0,33.27,0,0,36.41,0,0,0,156.8,1.1,0,0,0
 60-70,0,1.51,0,3.21,0.56,0,56.64,0,2.61,2,2.06,39.22,0,0,1.16,24.66,31.67,0,3.87,0,0,29.01,0,0,95.82,0,6.12,0,90.01,0,3.15,0,0
 72-82,0,15.63,1.18,7.24,0.54,0,75.67,0.55,0,0.56,6.93,180.93,1.34,0,0,52.02,100.51,0,26.96,0,0,81.4,0,1.28,137.69,0,4.13,0,152.52,6.29,14.76,0.85,0
 84-94,0,27.24,4.85,2.07,0.72,0,53.61,0,0.79,0.89,0,334.27,0,0,9.96,52.97,285.63,10.43,30.91,0,2.25,106.14,2.22,0,214.45,0,7.03,0,265.05,11.25,41.39,0,2.07
 96-106,1.12,22.27,11.12,4.41,14.22,2.47,98.37,0,0,1.89,1,531.01,3.75,0.92,0,96.54,478.44,2.33,28.3,1.73,1.43,155.59,2.06,5.07,245.26,0,7.5,0,292.46,0,125.4,0.74,3.26
108-118,0,16.02,18.33,18.85,5.93,0,110.11,0.61,0.54,0,18,707.88,2.85,0,0,59.36,897.73,0,33.56,0.42,3.35,176.38,0,1.61,239.86,2.83,6.03,0,257.69,1.23,194.49,12.85,0
120,0,10.22,5.68,1.46,4.21,14.71,41.29,0,0,0,30.19,583.31,0,0,16.34,51.19,445.12,0,19,0,0,245.11,0,0,320.92,0,3.8,0,207.83,8.48,88.76,0,0
